model,ale_gap_80_20,epi_gap_120_id,epi_gap_1ms_id
Diagonal corrected control,-1.4048069715499878e-05,2.025312278419733e-05,0.0007133657345548272
Low-Rank rank4,-6.651272997260094e-06,-0.00025826506316661835,-0.000734865665435791
