model,regime,nmse_all_db,nmse_omitted_db,psi_mean,covariance_diag_mean,lowrank_diag_contribution_mean,off_diagonal_energy_ratio_mean,aleatoric_mean,epistemic_mean,error_aleatoric_pearson,error_epistemic_pearson
Diagonal corrected control,ID-Easy 20 ns,-18.437915649414062,-18.434239196777344,0.19398067891597748,0.19398067891597748,0.0,,0.010541812516748905,0.001290039042942226,0.23920975625514984,0.24116969108581543
Diagonal corrected control,ID-Hard 80 ns,-17.74913513183594,-17.742636489868165,0.19355379045009613,0.19355379045009613,0.0,,0.010527764447033405,0.001287406892515719,0.2886728346347809,0.2917223572731018
Diagonal corrected control,OOD-Near 120 ns,-15.609620323181153,-15.601826400756837,0.19485071301460266,0.19485071301460266,0.0,,0.010654262267053127,0.0013102921657264233,0.28024137020111084,0.2831004858016968
Diagonal corrected control,OOD-Far 1 ms,1.3384193325042724,1.5445478296279906,0.2334141880273819,0.2334141880273819,0.0,,0.01448327861726284,0.002003404777497053,0.06203074008226395,0.06972452253103256
Low-Rank rank4,ID-Easy 20 ns,-15.617979011535645,-15.611919631958008,0.003068780293688178,0.009689975529909134,0.0066211954690515995,0.9976797699928284,0.0021771835163235664,0.018428759649395943,0.19648295640945435,0.19896002113819122
Low-Rank rank4,ID-Hard 80 ns,-15.494968605041503,-15.490279006958009,0.003085820935666561,0.0096734082326293,0.006587586831301451,0.9974166750907898,0.0021705322433263063,0.01826835609972477,0.21853183209896088,0.24581292271614075
Low-Rank rank4,OOD-Near 120 ns,-13.720270462036133,-13.720391387939452,0.0031066748779267073,0.00963345356285572,0.0065267798490822315,0.997418999671936,0.0021636295132339,0.018170494586229324,0.21325235068798065,0.23787133395671844
Low-Rank rank4,OOD-Far 1 ms,1.0064216136932373,1.1697697591781617,0.003231300972402096,0.009302502498030663,0.006071201525628567,0.9974901080131531,0.002120617777109146,0.01769389398396015,0.04603152349591255,0.04304368048906326
