regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-18.09441230773926,-18.093552474975585,0.010998362675309181,0.0014661606401205063,-2148.31021484375,34775.07765625,0.0
ID-Hard 80 ns,-17.524142456054687,-17.52005081176758,0.010984009131789207,0.0014630527002736926,-2028.919912109375,37455.35875,0.0
OOD-Near 120 ns,-15.570146026611328,-15.562888565063476,0.011177328415215015,0.0015013874508440495,-1583.171640625,56490.74328125,0.0
OOD-Far 1 ms,1.3796420192718506,1.5860816478729247,0.01526915654540062,0.0023106159642338753,2499.154169921875,2926278.04,0.0
