lambda,regime,aleatoric_mean,bin,count,epistemic_mean,error_mean
0,ID-Easy 20 ns,0.010413091629743576,0,512000,0.0013850049581378698,0.0004325149056967348
0,ID-Easy 20 ns,0.010588078759610653,1,512000,0.0014091097982600331,0.003573002526536584
0,ID-Easy 20 ns,0.011993920430541039,2,512000,0.0016043669311329722,0.020560069009661674
0,ID-Hard 80 ns,0.010440358892083168,0,512000,0.0013888732064515352,0.0004804287455044687
0,ID-Hard 80 ns,0.010578615590929985,1,512001,0.0014079862739890814,0.0039262669160962105
0,ID-Hard 80 ns,0.011933055706322193,2,511999,0.001592299435287714,0.022070493549108505
0,OOD-Near 120 ns,0.01069932896643877,0,512000,0.0014355492312461138,0.000760580413043499
0,OOD-Near 120 ns,0.01082296296954155,1,512000,0.0014529371401295066,0.00620785728096962
0,OOD-Near 120 ns,0.012009693309664726,2,512000,0.001615675981156528,0.032998356968164444
0,OOD-Far 1 ms,0.01500057801604271,0,512000,0.0022618111688643694,0.0425131693482399
0,OOD-Far 1 ms,0.015119879506528378,1,512000,0.0022836627904325724,0.3469090461730957
0,OOD-Far 1 ms,0.015687011182308197,2,512000,0.0023863743990659714,1.7820011377334595
