epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,covariance_diag_mean,covariance_diag_std,lowrank_diag_contribution_mean,lowrank_diag_contribution_std,off_diagonal_energy_ratio_mean,off_diagonal_energy_ratio_std,frequency_covariance_lag_1_mean,frequency_covariance_lag_1_std,frequency_covariance_lag_2_mean,frequency_covariance_lag_2_std,frequency_covariance_lag_4_mean,frequency_covariance_lag_4_std,frequency_covariance_lag_8_mean,frequency_covariance_lag_8_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
1,ID-Easy 20 ns,20.0,200,-12.051229667663574,-12.133625450134277,0.516511857509613,0.15057629346847534,0.9741562604904175,0.09047963470220566,2050.197998046875,0.17098553478717804,1.1979434490203857,0.17098553478717804,0.4432350695133209,0.15755939483642578,0.4618542194366455,0.17904488742351532,0.14669959247112274,0.07023966312408447,0.11392569541931152,0.03243837133049965,-802.0287182617187,129314.4875,0.0,0.0,15.0,14.975807647705079,0.26704728171575887,,,,,,,,,,,,,,,0.0017296512378379703,0.43300434947013855,0.4551295340061188,0.014104748144745827,0.43559062480926514,0.45515957474708557,0.07486935704946518,0.4611101746559143,0.4752735197544098
1,ID-Hard 80 ns,80.0,200,-12.130499267578125,-12.212124481201172,0.512056291103363,0.14837945997714996,0.966974139213562,0.04842079058289528,2050.193359375,0.062498655170202255,1.1934592723846436,0.06249857693910599,0.4302805960178375,0.12690205872058868,0.4457634687423706,0.13267093896865845,0.16824229061603546,0.07642580568790436,0.14037561416625977,0.038788679987192154,-792.23392578125,125155.3478125,0.0,0.0,15.0,15.003419342041015,0.2547487409902887,,,,,,,,,,,,,,,0.0017304280772805214,0.4215199649333954,0.44086968898773193,0.013923934660851955,0.423921138048172,0.44044533371925354,0.07209461182355881,0.4454006850719452,0.4559755027294159
1,OOD-Near 120 ns,120.0,200,-11.990297966003418,-12.0661376953125,0.5108931660652161,0.14933212101459503,0.9643596410751343,0.04893932864069939,2050.1943359375,0.06300510466098785,1.1943676471710205,0.06300509721040726,0.42908772826194763,0.12808266282081604,0.44581282138824463,0.1345628947019577,0.17380182445049286,0.0717993751168251,0.14826633036136627,0.03690320998430252,-766.5541870117188,127322.870625,0.0,0.0,15.0,14.99090560913086,0.2707705227594815,,,,,,,,,,,,,,,0.0017455730121582747,0.42073020339012146,0.44095578789711,0.014113157987594604,0.42226964235305786,0.4400455355644226,0.07353374361991882,0.4442632496356964,0.45643728971481323
1,OOD-Far 1 ms,1000000.0,200,2.3291733169555666,2.5915765380859375,0.49603742361068726,0.14812976121902466,0.9570539593696594,0.05073599889874458,2050.2109375,0.08175423741340637,1.2108529806137085,0.08175419270992279,0.41187646985054016,0.12762762606143951,0.4316146671772003,0.13630898296833038,-0.01024677511304617,-0.007137201260775328,-0.011912025511264801,-0.010223712772130966,2741.89171875,3601095.44,0.0,0.0,15.0,15.005892143249511,0.24637874231902782,,,,,,,,,,,,,,,0.05364033579826355,0.41330036520957947,0.4333491921424866,0.43793830275535583,0.41241174936294556,0.43228286504745483,2.2412679195404053,0.40991729497909546,0.42921194434165955
2,ID-Easy 20 ns,20.0,200,-15.443151321411133,-15.449299507141113,0.3746284246444702,0.06644269824028015,1.975034475326538,0.1337326467037201,2052.687255859375,0.2756011188030243,3.6870827674865723,0.2756010890007019,0.10242726653814316,0.02140328846871853,0.052060019224882126,0.011317327618598938,0.19310906529426575,0.11024732142686844,0.1643790602684021,0.08438463509082794,-1500.428642578125,62899.7003125,0.0,0.0,15.0,14.997757911682129,0.27129987054080895,,,,,,,,,,,,,,,0.0007862986531108618,0.10025804489850998,0.05110251531004906,0.006513584870845079,0.10116539150476456,0.05152163282036781,0.03744218498468399,0.10585835576057434,0.05355590209364891
2,ID-Hard 80 ns,80.0,200,-15.259344863891602,-15.257992858886718,0.3725508153438568,0.0638556256890297,1.9607493877410889,0.08161348849534988,2052.67578125,0.13841800391674042,3.6756060123443604,0.13841788470745087,0.10151839256286621,0.01795916073024273,0.05178571492433548,0.008944722823798656,0.2030927836894989,0.10541541129350662,0.18733415007591248,0.08651299774646759,-1452.977939453125,63009.17375,0.0,0.0,15.0,15.005968742370605,0.25995335069542175,,,,,,,,,,,,,,,0.0008198609575629234,0.09972822666168213,0.05100291967391968,0.006766132544726133,0.10052673518657684,0.051348160952329636,0.037334028631448746,0.10430023074150085,0.05300607904791832
2,OOD-Near 120 ns,120.0,200,-14.7052010345459,-14.695849647521973,0.371604859828949,0.06368301063776016,1.9550464153289795,0.0818457379937172,2052.675048828125,0.1349703073501587,3.6751627922058105,0.1349702626466751,0.10125724971294403,0.017833109945058823,0.05181734636425972,0.008992725983262062,0.21499955654144287,0.08801858127117157,0.2045120745897293,0.074259452521801,-1341.42130859375,69892.4246875,0.0,0.0,15.0,15.005629730224609,0.24798567709593625,,,,,,,,,,,,,,,0.0009199550841003656,0.09969540685415268,0.05109536275267601,0.007534946780651808,0.10024482756853104,0.05135727301239967,0.04146474227309227,0.10383151471614838,0.052999403327703476
2,OOD-Far 1 ms,1000000.0,200,1.7600198841094972,2.0119792556762697,0.3756660223007202,0.06435607373714447,1.921240210533142,0.08065761625766754,2052.610107421875,0.1527107059955597,3.6099932193756104,0.1527106612920761,0.10426536947488785,0.01854969933629036,0.05432887747883797,0.009728423319756985,0.07530573755502701,0.058993883430957794,0.07349715381860733,0.05717103183269501,2553.8158984375,3166907.3,0.0,0.0,15.0,15.048698883056641,0.28407814713689106,,,,,,,,,,,,,,,0.046837881207466125,0.10343699902296066,0.053908709436655045,0.38248640298843384,0.10377959907054901,0.05408219248056412,1.9642653465270996,0.10557951033115387,0.05499571934342384
3,ID-Easy 20 ns,20.0,200,-15.819914932250976,-15.83490867614746,0.30038002133369446,0.06752979010343552,2.9726693630218506,0.20744848251342773,2055.141357421875,0.46635740995407104,6.141351699829102,0.46635740995407104,0.04954344779253006,0.013514282181859016,0.01683182455599308,0.005107583943754435,0.21860620379447937,0.14578597247600555,0.1962878257036209,0.12596359848976135,-1590.5267529296875,57475.03328125,0.0,0.0,15.0,15.011744117736816,0.269451674941243,,,,,,,,,,,,,,,0.0007310568471439183,0.04784202575683594,0.01625869981944561,0.006042139139026403,0.048581819981336594,0.016500914469361305,0.034016113728284836,0.05220649763941765,0.017735866829752922
3,ID-Hard 80 ns,80.0,200,-15.725276489257812,-15.738095397949218,0.29759231209754944,0.06325691938400269,2.9542417526245117,0.10310298204421997,2055.133544921875,0.23408247530460358,6.13358736038208,0.23408247530460358,0.04868752136826515,0.01103567611426115,0.01649889536201954,0.003784055821597576,0.20314383506774902,0.11923204362392426,0.19928358495235443,0.11502613127231598,-1565.32400390625,56742.8803125,0.0,0.0,15.0,15.005388145446778,0.2648897613642743,,,,,,,,,,,,,,,0.0007399913156405091,0.047532156109809875,0.01611294411122799,0.006076161749660969,0.04797624796628952,0.016261782497167587,0.03346797823905945,0.050554145127534866,0.01712196320295334
