regime,samples,before_u_nmse_pearson,before_u_nmse_spearman,after_u_nmse_pearson,after_u_nmse_spearman,u_power_pearson,u_power_spearman,u_abs_mse_pearson,u_abs_mse_spearman,u_nmse_pearson,u_nmse_spearman,norm_u_abs_mse_pearson,norm_u_abs_mse_spearman,norm_u_nmse_pearson,norm_u_nmse_spearman,true_cfr_power_mean,true_cfr_power_std,absolute_prediction_mse_mean,absolute_prediction_mse_std,existing_nmse_db_mean,existing_nmse_db_std,total_uncertainty_mean,total_uncertainty_std,normalized_absolute_prediction_mse_mean,normalized_absolute_prediction_mse_std,normalized_nmse_db_mean,normalized_nmse_db_std,normalized_total_uncertainty_mean,normalized_total_uncertainty_std
ID-Easy 20 ns,200,-0.2845574194195155,-0.3264576614415361,0.44087644096022094,0.41846996174904383,0.7814558101815988,0.7768709217730444,0.7371394471875694,0.7228800720018,-0.2845574194195155,-0.3264576614415361,0.45577221580495586,0.41845646141153536,0.44087644096022094,0.41846996174904383,1.0617666558921337,0.4175890887547764,0.07102664159610868,0.026280549025482578,-17.711843547821044,0.6280892545016975,0.023561615934595465,0.00364273775450799,0.06845924984663725,0.00996790614914493,-17.711843576431274,0.6280893653061712,0.02502050917595625,0.008696474663533113
ID-Hard 80 ns,200,-0.6200835890572131,-0.6256986424660617,0.6990617682279027,0.6890992274806871,0.9597688514482073,0.9512247806195155,0.8918351645926937,0.8887632190804771,-0.6200835890572131,-0.6256986424660617,0.7080320402932798,0.6890047251181282,0.6990617682279027,0.6890992274806871,1.0183618198335171,0.31374567848487095,0.07525369841605425,0.018540608394760728,-17.250189661979675,0.5787878703975069,0.023466387959197164,0.0020395750523582085,0.0760201863385737,0.010338212455227721,-17.250189690589906,0.578787815961068,0.024855560073629022,0.006440230262299086
OOD-Near 120 ns,200,-0.6355604859120196,-0.6698147453686344,0.7983771681732826,0.7746343658591466,0.9356751091805928,0.9316867921698043,0.7909510313626228,0.7507957698942475,-0.6355604859120196,-0.6698147453686344,0.8077831555227658,0.7747243681092029,0.7983771681732826,0.7746343658591466,0.9983675619959831,0.28507017173086646,0.11315162464976311,0.022015396677405385,-15.373365950584411,0.8243699399623052,0.02368970151990652,0.001905608794054517,0.11825973276048898,0.023844793961191393,-15.373365950584411,0.8243698621724265,0.025306099923327566,0.005978085125664059
OOD-Far 1 ms,200,-0.11966442078946368,-0.11844146103652592,0.1341771698978968,0.09832895822395561,0.8842903758413879,0.888214205355134,0.856054280428674,0.8501747543688594,-0.11966442078946368,-0.11844146103652592,0.09051157431956014,0.0578969474236856,0.1341771698978968,0.09832895822395561,1.0051166653633117,0.1855393993701283,5.751572932004929,1.057212103946433,1.5547516804933548,0.19129179333133506,0.03300980854779482,0.005067217179750315,5.72934312582016,0.24640899001636904,1.5547516536712647,0.19129179404814028,0.033167814956977966,0.002969566532176786
