regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-18.60341278076172,-18.563976821899413,0.4114221119880676,0.41672635316848755,-2513.617490234375,14.571994590759278,0.014571995176374912
ID-Hard 80 ns,-18.558506851196288,-18.514682388305665,0.40421051025390625,0.4008471691608429,-2432.5536328125,14.21769718170166,0.014217697940766811
OOD-Near 120 ns,-17.82144432067871,-17.74124412536621,0.4012342882156372,0.3971444225311279,-2265.28931640625,16.425660247802735,0.016425661146640777
