epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,1034.3886701202393,1033.890501159668,498.1664033203125,0.4981664284467697,-3.2980563038289548,-3.2233609458878636,1128.1977978515624,1127.750205078125,447.58193115234377,0.4475819516181946,-3.5444919776916506,-3.3632205963134765,1.2859442377090453,1.656233115196228
2,-40.57421429824829,-40.85600549316406,281.7916267089844,0.28179164093732834,-5.740843425750732,-5.607649797439575,-583.4196850585937,-583.5325952148437,112.91189849853515,0.11291190475225449,-9.393224716186523,-9.191811065673829,2.3591206073760986,2.873497543334961
3,-965.194258758545,-965.3592366333007,164.97933012390138,0.1649793377816677,-8.41192236328125,-8.290193155288696,-1095.8065112304687,-1095.8666333007814,60.11345184326172,0.06011345505714417,-11.850124969482422,-11.653428497314453,1.0925226545333862,1.2775588512420655
4,-1165.7929172668457,-1165.9310100708008,138.08888876342775,0.13808889536559582,-9.25451360321045,-9.145163455963134,-1862.079990234375,-1862.1070703125,27.0917716217041,0.02709177300333977,-15.628415908813476,-15.520647735595704,0.5673535776138305,0.6110622906684875
5,-1511.4934807128907,-1511.5912700195313,97.7866403503418,0.09778664481639862,-10.784878742218018,-10.681955539703369,-2519.04740234375,-2519.061025390625,13.583725051879883,0.013583725839853287,-18.574379653930663,-18.537054748535155,0.4053309917449951,0.40290954351425173
