lambda,ale_gap_80_20,psi_gap_80_20,denom_gap_80_20,kappa_gap_120_id,kappa_gap_1ms_id,epi_gap_120_id,epi_gap_1ms_id,mean_id_nmse
0,-1.4353543519973755e-05,-0.0001987069845199585,-0.07397270202636719,7.456548327580094,6.68082439340651,3.522681072354317e-05,0.000844455324113369,-17.806801643371582
1e-3,-1.4048069715499878e-05,-0.00042688846588134766,-0.09328842163085938,8.142020507832058,7.298803611774929,2.025312278419733e-05,0.0007133657345548272,-18.088437843322755
1e-2,-6.821751594543457e-05,-0.0008326023817062378,-0.028532981872558594,5.886785075534135,5.186245963443071,4.584924317896366e-05,0.0016709133051335812,-18.27210075378418
