lambda,prefix_ale_gap,corrected_ale_gap,prefix_epi120_gap,corrected_epi120_gap,prefix_epi1ms_gap,corrected_epi1ms_gap
0,-7.400289177894592e-06,-1.4353543519973755e-05,3.3000949770212173e-05,3.522681072354317e-05,0.0009010847425088286,0.000844455324113369
1e-3,-5.0836242735385895e-05,-1.4048069715499878e-05,2.1330080926418304e-05,2.025312278419733e-05,0.0008863006951287389,0.0007133657345548272
1e-2,-2.992246299982071e-05,-6.821751594543457e-05,4.651281051337719e-05,4.584924317896366e-05,0.0016875402070581913,0.0016709133051335812
