epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,covariance_diag_mean,covariance_diag_std,lowrank_diag_contribution_mean,lowrank_diag_contribution_std,off_diagonal_energy_ratio_mean,off_diagonal_energy_ratio_std,frequency_covariance_lag_1_mean,frequency_covariance_lag_1_std,frequency_covariance_lag_2_mean,frequency_covariance_lag_2_std,frequency_covariance_lag_4_mean,frequency_covariance_lag_4_std,frequency_covariance_lag_8_mean,frequency_covariance_lag_8_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
1,ID-Easy 20 ns,20.0,200,-11.629326210021972,-11.681080284118652,0.531103253364563,0.14125831425189972,1.1329008340835571,0.12624159455299377,2050.541748046875,0.23533721268177032,1.541788101196289,0.23533719778060913,0.3561755418777466,0.1266866773366928,0.32258370518684387,0.13502570986747742,0.1923018991947174,0.14930973947048187,0.16593509912490845,0.11953432857990265,-716.44205078125,143153.805,143.15380981445313,0.19981212668400994,15.0,14.975807647705079,0.26704728171575887,,,,,,,,,,,,,,,0.0018000024138018489,0.33915650844573975,0.3074863851070404,0.014805748127400875,0.34680408239364624,0.3138558268547058,0.08441071957349777,0.38256609439849854,0.3464088439941406
1,ID-Hard 80 ns,80.0,200,-11.756521911621094,-11.806880760192872,0.5283836126327515,0.14015018939971924,1.1242210865020752,0.0661807730793953,2050.53076171875,0.0663963183760643,1.5308057069778442,0.0663963034749031,0.34584927558898926,0.0932653397321701,0.30858173966407776,0.08493714779615402,0.20823940634727478,0.15683023631572723,0.17600789666175842,0.12305770069360733,-691.8636865234375,136817.04125,136.81704772949217,0.1977514507445967,15.0,15.003419342041015,0.2547487409902887,,,,,,,,,,,,,,,0.0017326242523267865,0.3330743908882141,0.29939910769462585,0.014357863925397396,0.3384099304676056,0.3028259873390198,0.08048345148563385,0.36606359481811523,0.3235202133655548
1,OOD-Near 120 ns,120.0,200,-11.648021621704101,-11.695219993591309,0.5290418863296509,0.14208219945430756,1.118798017501831,0.06752658635377884,2050.5234375,0.07110635191202164,1.5235265493392944,0.07110629975795746,0.34815919399261475,0.09588061273097992,0.3122401535511017,0.08802244812250137,0.2076796591281891,0.15404048562049866,0.17968283593654633,0.1232835054397583,-674.1581127929687,138836.76375,138.8367706298828,0.20594096250304952,15.0,14.99090560913086,0.2707705227594815,,,,,,,,,,,,,,,0.001733925542794168,0.33507391810417175,0.3024880886077881,0.014360586181282997,0.34079810976982117,0.3064131438732147,0.08197330683469772,0.36860546469688416,0.32781922817230225
1,OOD-Far 1 ms,1000000.0,200,2.2458905220031737,2.5029568386077883,0.5150589346885681,0.1366785168647766,1.111836314201355,0.06808482855558395,2050.54443359375,0.095307357609272,1.5443118810653687,0.09530728310346603,0.33526769280433655,0.09370672702789307,0.3030123710632324,0.08830622583627701,-0.017544234171509743,-0.017433300614356995,-0.022433165460824966,-0.02297421731054783,2721.16447265625,3531850.69,3531.850888671875,1.2979189329233374,15.0,15.005892143249511,0.24637874231902782,,,,,,,,,,,,,,,0.05262284725904465,0.3366564214229584,0.3046833872795105,0.42907726764678955,0.3358909487724304,0.30375680327415466,2.194596290588379,0.3332556486129761,0.30059683322906494
2,ID-Easy 20 ns,20.0,200,-15.959740142822266,-15.984656295776368,0.3585578501224518,0.06409725546836853,2.4969310760498047,0.2211419939994812,2053.757568359375,0.3916315734386444,4.757592678070068,0.3916315734386444,0.07628608494997025,0.01750839687883854,0.03099413588643074,0.008675315417349339,0.20654024183750153,0.12578584253787994,0.16537310183048248,0.09305740147829056,-1620.945126953125,56239.50921875,56.23951156616211,0.03469550611594609,15.0,14.997757911682129,0.27129987054080895,,,,,,,,,,,,,,,0.0007000946789048612,0.07435347139835358,0.03022719733417034,0.00577077642083168,0.07511463016271591,0.030544839799404144,0.033350858837366104,0.07939015328884125,0.03221037611365318
2,ID-Hard 80 ns,80.0,200,-15.794427337646484,-15.813213958740235,0.35630956292152405,0.06161981076002121,2.4799511432647705,0.10485512018203735,2053.740966796875,0.12057778239250183,4.740921974182129,0.12057777494192123,0.07530273497104645,0.01379095297306776,0.030397867783904076,0.00558958575129509,0.21699298918247223,0.12730729579925537,0.20835953950881958,0.11967398971319199,-1582.64515625,56139.84578125,56.139848175048826,0.03547216377151447,15.0,15.005968742370605,0.25995335069542175,,,,,,,,,,,,,,,0.000726118276361376,0.07375724613666534,0.0297958105802536,0.005987426731735468,0.07441111654043198,0.030051082372665405,0.03310780227184296,0.07773982733488083,0.03134671598672867
2,OOD-Near 120 ns,120.0,200,-15.198722801208497,-15.207302932739259,0.35588306188583374,0.06129930913448334,2.4739716053009033,0.11082684248685837,2053.738525390625,0.11922386288642883,4.738460063934326,0.11922384053468704,0.07523393630981445,0.013618603348731995,0.03045840933918953,0.005605722777545452,0.2089422345161438,0.1019679456949234,0.19985373318195343,0.09656529873609543,-1458.0570458984375,62466.78234375,62.46678588867187,0.042842484156545575,15.0,15.005629730224609,0.24798567709593625,,,,,,,,,,,,,,,0.0008230056846514344,0.07398254424333572,0.029965396970510483,0.006775578949600458,0.07439180463552475,0.030124979093670845,0.036806147545576096,0.07732747495174408,0.03128485009074211
2,OOD-Far 1 ms,1000000.0,200,1.780585298538208,2.032956123352051,0.366883248090744,0.06290880590677261,2.3848960399627686,0.11811242252588272,2053.533447265625,0.1755121350288391,4.533427715301514,0.1755121350288391,0.08117854595184326,0.015127765946090221,0.03415556252002716,0.006791561841964722,0.10231613367795944,0.07915590703487396,0.1023055836558342,0.07686471939086914,2559.0166015625,3186864.78,3186.864931640625,1.2453475017248095,15.0,15.048698883056641,0.28407814713689106,,,,,,,,,,,,,,,0.04709155112504959,0.08025655895471573,0.033741146326065063,0.38432371616363525,0.08062530308961868,0.03391031548380852,1.9759330749511719,0.08265378326177597,0.034815218299627304
3,ID-Easy 20 ns,20.0,200,-16.312714920043945,-16.308037719726563,0.2808014452457428,0.06790865957736969,3.5616073608398438,0.19933390617370605,2056.2470703125,0.46970728039741516,7.246911525726318,0.4697072505950928,0.03914547339081764,0.010975193232297897,0.011061733588576317,0.0033313597086817026,0.23443648219108582,0.1630227118730545,0.22963562607765198,0.1569773256778717,-1708.39787109375,51873.21046875,51.87321319580078,0.030363660639712044,15.0,15.011744117736816,0.269451674941243,,,,,,,,,,,,,,,0.0006419601268135011,0.037722647190093994,0.010636101476848125,0.00537494570016861,0.038339387625455856,0.010820520110428333,0.030918510630726814,0.04137439280748367,0.011728580109775066
3,ID-Hard 80 ns,80.0,200,-16.07588020324707,-16.067594604492186,0.2782137393951416,0.06419627368450165,3.542266845703125,0.09927868098020554,2056.23095703125,0.25446051359176636,7.230973720550537,0.25446051359176636,0.038628894835710526,0.009525838308036327,0.010919952765107155,0.0027408648747950792,0.22098112106323242,0.1320529580116272,0.2224789261817932,0.13418039679527283,-1657.3216552734375,52472.095625,52.47209808349609,0.031660781065774614,15.0,15.005388145446778,0.2648897613642743,,,,,,,,,,,,,,,0.0006868895143270493,0.03760010004043579,0.010619470849633217,0.005596949718892574,0.03800290450453758,0.01073820423334837,0.03110300749540329,0.0402836836874485,0.011402181349694729
3,OOD-Near 120 ns,120.0,200,-15.206128463745117,-15.1906201171875,0.27832189202308655,0.06580038368701935,3.535836696624756,0.10483352839946747,2056.227294921875,0.2367083877325058,7.227379322052002,0.2367083728313446,0.03864118829369545,0.009657124988734722,0.01094465795904398,0.0027871415950357914,0.21358197927474976,0.10107747465372086,0.21250812709331512,0.10132494568824768,-1469.63322265625,62006.1165625,62.00611968994141,0.04219156095113866,15.0,14.99487808227539,0.2931919624293263,,,,,,,,,,,,,,,0.00083449314115569,0.0377676859498024,0.010692761279642582,0.006776649504899979,0.03807280585169792,0.010779005475342274,0.036638300865888596,0.04008307680487633,0.011362206190824509
3,OOD-Far 1 ms,1000000.0,200,1.6499922752380372,1.891803731918335,0.3007616698741913,0.07148594409227371,3.343553304672241,0.13358934223651886,2055.76123046875,0.3118876814842224,6.761397361755371,0.3118876516819,0.044725824147462845,0.011582748964428902,0.013431699015200138,0.003683512331917882,0.12303447723388672,0.10277100652456284,0.12650196254253387,0.10441327840089798,2526.72873046875,3095804.86,3095.8050390625,1.225222558211037,15.0,15.014761047363281,0.2539165515842246,,,,,,,,,,,,,,,0.04565808176994324,0.04385707154870033,0.01314802747219801,0.37214386463165283,0.04422925040125847,0.013269513845443726,1.9115290641784668,0.04609116539359093,0.013877557590603828
4,ID-Easy 20 ns,20.0,200,-17.039937286376954,-17.057265167236327,0.22703668475151062,0.07090140879154205,4.565354824066162,0.25433576107025146,2058.733154296875,0.625093936920166,9.733235359191895,0.625093936920166,0.02358575351536274,0.008144800551235676,0.005209171213209629,0.0019247856689617038,0.2785246670246124,0.1618240624666214,0.26967549324035645,0.1542041301727295,-1891.8027294921876,43871.895,43.87189666748047,0.023190524034725865,15.0,14.988003158569336,0.28178980425783273,,,,,,,,,,,,,,,0.0005383999668993056,0.02252020128071308,0.0049622440710663795,0.004487014375627041,0.022954817861318588,0.0050633857026696205,0.02602415904402733,0.0252822395414114,0.005601884797215462
4,ID-Hard 80 ns,80.0,200,-16.83018371582031,-16.84652099609375,0.22558040916919708,0.06924857944250107,4.538189888000488,0.12703590095043182,2058.697509765625,0.32904836535453796,9.697395324707031,0.3290483355522156,0.023355957120656967,0.007462820503860712,0.0051564439199864864,0.0016758858691900969,0.2625466287136078,0.1357690393924713,0.2649804353713989,0.1406387835741043,-1850.6004541015625,44095.8653125,44.0958674621582,0.02382787022676258,15.0,15.048688354492187,0.26884412237149935,,,,,,,,,,,,,,,0.0005630923551507294,0.022527117282152176,0.004965008236467838,0.004639379680156708,0.022825021296739578,0.005035178270190954,0.026001205667853355,0.024715732783079147,0.005469145253300667
4,OOD-Near 120 ns,120.0,200,-15.873417625427246,-15.884880714416504,0.22530972957611084,0.07004708051681519,4.531172275543213,0.13146089017391205,2058.694091796875,0.30360957980155945,9.693929672241211,0.3036095201969147,0.023321498185396194,0.00749351317062974,0.005156504921615124,0.0016825462225824594,0.24870821833610535,0.09834858775138855,0.24893131852149963,0.10146176815032959,-1635.0117138671876,53285.0184375,53.285021209716795,0.032589993550174196,15.0,14.984928665161133,0.25724944836005076,,,,,,,,,,,,,,,0.0007025308441370726,0.0226372629404068,0.004999994765967131,0.005744347348809242,0.02285066246986389,0.005049486644566059,0.03129485249519348,0.024476565420627594,0.005420034285634756
