regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-18.437915649414062,-18.434239196777344,0.010541812516748905,0.001290039042942226,-2222.28947265625,32536.89765625,32.53689926147461
ID-Hard 80 ns,-17.74913513183594,-17.742636489868165,0.010527764447033405,0.001287406892515719,-2081.7165234375,35626.75046875,35.62675247192383
OOD-Near 120 ns,-15.609620323181153,-15.601826400756837,0.010654262267053127,0.0013102921657264233,-1598.60609375,56062.32828125,56.06233108520508
OOD-Far 1 ms,1.3384193325042724,1.5445478296279906,0.01448327861726284,0.002003404777497053,2488.35353515625,2900506.78,2900.506923828125
