epoch,train_total,train_nll,train_reg,train_nmse_db,validation_total,validation_nll,validation_reg,validation_nmse_db,validation_aleatoric,validation_epistemic
1,1.139735114812851,0.6460751397609711,493.6599552001953,-3.323775422334671,0.958840069770813,0.545702691078186,413.1373657226562,-3.8607122802734377,0.22738119065761567,0.21781934022903443
2,0.22754036575555803,-0.008811511017382145,236.35186715698242,-6.582508121490479,-0.5932042050361633,-0.6310933876037598,37.88918441772461,-14.278909759521484,0.041502320319414136,0.02833693228662014
3,-0.103925128698349,-0.2620183383449912,158.09320347595215,-8.435777908325194,-0.2682096421718597,-0.3339306974411011,65.72105194091797,-11.497267875671387,0.03346145540475845,0.02202230431139469
4,-0.3576198867559433,-0.4761347334459424,118.51484059143067,-9.80609192276001,-0.8310530853271484,-0.8563740682601929,25.3209765625,-15.838781242370606,0.013316461108624935,0.006814596187323332
5,-0.4925410370826721,-0.5875762109756469,95.03517190551757,-10.74121771621704,-0.7798629426956176,-0.8066494750976563,26.78654052734375,-15.430295715332031,0.012736254371702671,0.006417182851582766
