regime,nmse_db,aleatoric_dropped,epistemic_dropped,aleatoric_all,epistemic_all
ID-Easy 20 ns,-15.481843070983887,0.013111324720084668,0.006619933880865574,0.013164968825876713,0.006645889729261398
ID-Hard 80 ns,-15.4924747467041,0.012807249166071415,0.006448890473693609,0.01286121215671301,0.006475474610924721
OOD-Near 120 ns,-15.092998428344726,0.012675784826278687,0.006371208224445582,0.012729276306927204,0.006397221311926842
