regime,samples,nmse_all_db,nmse_omitted_db,nll,raw_l_reg,lambda_reg_x_l_reg,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,psi_omitted_mean,psi_omitted_std,psi_all_mean,psi_all_std,kappa_omitted_mean,kappa_omitted_std,kappa_all_mean,kappa_all_std,nu_omitted_mean,nu_omitted_std,nu_all_mean,nu_all_std,df_cov_omitted_mean,df_cov_omitted_std,df_cov_all_mean,df_cov_all_std,aleatoric_omitted_mean,aleatoric_omitted_std,aleatoric_all_mean,aleatoric_all_std,epistemic_omitted_mean,epistemic_omitted_std,epistemic_all_mean,epistemic_all_std
ID-Easy 20 ns,200,-18.60341278076172,-18.563976821899413,-2513.617490234375,14.571994590759278,0.014571995176374912,0.30756455659866333,0.06920143961906433,0.3067089319229126,0.07690306007862091,0.45106104016304016,0.2674713730812073,0.44120892882347107,0.2621507942676544,0.9987638592720032,0.12390539795160294,0.9987637400627136,0.12390539795160294,2050.18798828125,0.3334703743457794,2050.188232421875,0.3334704041481018,1.188094139099121,0.3334703743457794,1.188094139099121,0.3334703743457794,0.41142213344573975,0.27390679717063904,0.4026363492012024,0.268644779920578,0.41672632098197937,0.28303274512290955,0.4077785611152649,0.277538537979126
ID-Hard 80 ns,200,-18.558506851196288,-18.514682388305665,-2432.5536328125,14.21769718170166,0.014217697940766811,0.3082267642021179,0.06381682306528091,0.3136044442653656,0.06681946665048599,0.4485189616680145,0.2658989429473877,0.4388337731361389,0.26055386662483215,1.0026254653930664,0.04555061459541321,1.0026253461837769,0.04555061459541321,2050.190673828125,0.3190802335739136,2050.190673828125,0.3190802335739136,1.190579891204834,0.3190802335739136,1.190579891204834,0.3190802335739136,0.40421053767204285,0.26372388005256653,0.3956107199192047,0.25850623846054077,0.4008471667766571,0.25698941946029663,0.392293781042099,0.2518922686576843
OOD-Near 120 ns,200,-17.82144432067871,-17.74124412536621,-2265.28931640625,16.425660247802735,0.016425661146640777,0.3281033933162689,0.06995265930891037,0.33369186520576477,0.07263468950986862,0.4466548562049866,0.2648979723453522,0.4370349049568176,0.25954678654670715,1.0050480365753174,0.049439944326877594,1.0050480365753174,0.049439944326877594,2050.195068359375,0.3210661709308624,2050.195068359375,0.3210661709308624,1.194962501525879,0.32106614112854004,1.194962501525879,0.32106614112854004,0.40123429894447327,0.262062668800354,0.3927244246006012,0.2568597197532654,0.3971444070339203,0.25520503520965576,0.38869622349739075,0.25012484192848206
