lambda_reg,ale_gap_80_20,epi_gap_120_id,epi_gap_1ms_id,mean_id_nmse_omitted_db,decision
0.0,-7.400289177894592e-06,3.3000949770212173e-05,0.0009010847425088286,-17.670012168884277,not_full_behavior
0.0001,-3.519747406244278e-05,2.0833220332860947e-05,0.0007063285447657108,-17.87609550476074,not_full_behavior
0.001,-5.0836242735385895e-05,2.1330080926418304e-05,0.0008863006951287389,-17.94711811065674,not_full_behavior
0.01,-2.992246299982071e-05,4.651281051337719e-05,0.0016875402070581913,-18.21621925354004,not_full_behavior
