experiment,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg
Experiment C + diag MV NLL,ID-Easy 20 ns,20.0,200,-18.60341278076172,-18.563976821899413,0.45106104016304016,0.2674713730812073,0.9987638592720032,0.12390539795160294,2050.18798828125,0.3334703743457794,1.188094139099121,0.3334703743457794,0.41142213344573975,0.27390679717063904,0.41672632098197937,0.28303274512290955,0.30756455659866333,0.06920143961906433,0.3067089319229126,0.07690306007862091,-2513.617490234375,14.571994590759278,0.014571995176374912
Experiment C + diag MV NLL,ID-Hard 80 ns,80.0,200,-18.558506851196288,-18.514682388305665,0.4485189616680145,0.2658989429473877,1.0026254653930664,0.04555061459541321,2050.190673828125,0.3190802335739136,1.190579891204834,0.3190802335739136,0.40421053767204285,0.26372388005256653,0.4008471667766571,0.25698941946029663,0.3082267642021179,0.06381682306528091,0.3136044442653656,0.06681946665048599,-2432.5536328125,14.21769718170166,0.014217697940766811
Experiment C + diag MV NLL,OOD-Near 120 ns,120.0,200,-17.82144432067871,-17.74124412536621,0.4466548562049866,0.2648979723453522,1.0050480365753174,0.049439944326877594,2050.195068359375,0.3210661709308624,1.194962501525879,0.32106614112854004,0.40123429894447327,0.262062668800354,0.3971444070339203,0.25520503520965576,0.3281033933162689,0.06995265930891037,0.33369186520576477,0.07263468950986862,-2265.28931640625,16.425660247802735,0.016425661146640777
Experiment C + diag MV NLL,OOD-Far 1 ms,1000000.0,200,2.561457691192627,2.8406809616088866,0.4337491989135742,0.2593885064125061,0.9961521625518799,0.05796574801206589,2050.199951171875,0.33226290345191956,1.1997408866882324,0.3322628438472748,0.39016637206077576,0.2589317262172699,0.38998550176620483,0.2550797760486603,-0.003978360909968615,0.011848398484289646,-0.0045634675770998,0.01131519116461277,2822.05767578125,1862.5229345703126,1.8625230073928833
