regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-15.617979011535645,-15.611919631958008,0.0021771835163235664,0.018428759649395943,-2659.5758984375,59104.5465625,59.10454986572265
ID-Hard 80 ns,-15.494968605041503,-15.490279006958009,0.0021705322433263063,0.01826835609972477,-2266.15056640625,57819.0725,57.81907531738281
OOD-Near 120 ns,-13.720270462036133,-13.720391387939452,0.0021636295132339,0.018170494586229324,-1566.0898095703126,84351.7375,84.35174285888672
OOD-Far 1 ms,1.0064216136932373,1.1697697591781617,0.002120617777109146,0.01769389398396015,2181.105234375,2658452.65,2658.452763671875
