regime,samples,nmse_all_db,nmse_omitted_db,nll,raw_l_reg,lambda_reg_x_l_reg,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,psi_omitted_mean,psi_omitted_std,psi_all_mean,psi_all_std,kappa_omitted_mean,kappa_omitted_std,kappa_all_mean,kappa_all_std,nu_omitted_mean,nu_omitted_std,nu_all_mean,nu_all_std,df_cov_omitted_mean,df_cov_omitted_std,df_cov_all_mean,df_cov_all_std,aleatoric_omitted_mean,aleatoric_omitted_std,aleatoric_all_mean,aleatoric_all_std,epistemic_omitted_mean,epistemic_omitted_std,epistemic_all_mean,epistemic_all_std
ID-Easy 20 ns,200,-16.212880630493164,-16.165722732543944,-0.8587464761734008,24.72841567993164,0.024728416800498962,0.4998667538166046,0.3370828628540039,0.4418169856071472,0.2239285707473755,0.04874154552817345,0.02887859009206295,0.04829426854848862,0.02860238216817379,2.0274922847747803,0.45094576478004456,2.027492046356201,0.45094576478004456,2052.443115234375,0.3694640100002289,2052.443359375,0.36946412920951843,3.443092107772827,0.3694640100002289,3.443092107772827,0.3694640100002289,0.014447222463786602,0.009039809927344322,0.014315498061478138,0.008957048878073692,0.007609224412590265,0.005403811112046242,0.007538521662354469,0.005352105479687452
ID-Hard 80 ns,200,-16.218321228027342,-16.17297393798828,-0.8564148449897766,24.057784729003906,0.02405778594315052,0.5054015517234802,0.31276071071624756,0.45634886622428894,0.19492073357105255,0.047796595841646194,0.02811538055539131,0.04737300053238869,0.027849359437823296,2.040637254714966,0.4213138520717621,2.040637254714966,0.4213138520717621,2052.4609375,0.3187658488750458,2052.460693359375,0.3187658488750458,3.4608023166656494,0.3187658190727234,3.4608025550842285,0.3187658190727234,0.013961611315608025,0.008383316919207573,0.013838103041052818,0.008305667899549007,0.007196252234280109,0.004738205578178167,0.007131807040423155,0.0046932268887758255
OOD-Near 120 ns,200,-15.790904312133788,-15.722800827026367,-0.8324009919166565,25.95895050048828,0.025958951711654663,0.5253111720085144,0.2988874018192291,0.4769187569618225,0.1946469396352768,0.04734073951840401,0.027861645445227623,0.04692399501800537,0.027605390176177025,2.044045925140381,0.42149409651756287,2.044045925140381,0.42149409651756287,2052.47119140625,0.31393900513648987,2052.47119140625,0.31393900513648987,3.4712324142456055,0.31393900513648987,3.4712324142456055,0.31393900513648987,0.013770563527941704,0.008246657438576221,0.013649549335241318,0.00817217119038105,0.007081875577569008,0.004647575784474611,0.007018641103059053,0.004604087211191654
