delay_ns,scope,scope_ordinal,regime,ng,metric,mean,median,q90,q95,q99,finite
110,partial_small,1,target,4,nmse_omitted_db,-23.63689316368103,-23.659086227416992,-23.025434684753417,-22.839803218841553,-22.520344543457032,True
110,partial_small,1,target,4,epistemic,0.003019125773804262,0.002828262164257467,0.004137050313875079,0.004729413310997187,0.0065903683658689255,True
110,partial_small,1,target,4,aleatoric,0.017197608320973813,0.017048735171556473,0.019098016433417797,0.019982649572193624,0.021829275116324424,True
110,partial_small,1,target,8,nmse_omitted_db,-21.16116551208496,-21.151156425476074,-20.628773498535157,-20.441330909729004,-20.15013038635254,True
110,partial_small,1,target,8,epistemic,0.004312991699436679,0.004085127497091889,0.005719236144796014,0.006314388872124254,0.008667329996824263,True
110,partial_small,1,target,8,aleatoric,0.027743222160264848,0.027494599111378193,0.030427725240588187,0.031565940380096434,0.03456678096204996,True
110,partial_small,1,target,16,nmse_omitted_db,-18.468698690414428,-18.454648971557617,-17.889358901977538,-17.668866539001463,-17.32634948730469,True
110,partial_small,1,target,16,epistemic,0.0074099861294962465,0.006940406979992986,0.00982119105756283,0.010908910073339936,0.01614293273538351,True
110,partial_small,1,target,16,aleatoric,0.04361406364291907,0.043185723945498466,0.04780237041413784,0.04941940233111381,0.05347007893025874,True
110,partial_small,1,target,32,nmse_omitted_db,-15.421476363182068,-15.4562406539917,-14.59698429107666,-14.34463758468628,-13.834403944015502,True
110,partial_small,1,target,32,epistemic,0.03877958096563816,0.028954542241990566,0.0598129253834486,0.08342818394303304,0.20861422985792144,True
110,partial_small,1,target,32,aleatoric,0.08259265282750129,0.0812496468424797,0.0919496089220047,0.09700868874788282,0.10913087621331213,True
110,partial_small,1,id20,4,nmse_omitted_db,-25.124670112609863,-25.12944507598877,-24.44606418609619,-24.235338020324708,-23.85906316757202,True
110,partial_small,1,id20,4,epistemic,0.0010661767391720786,0.0009933759574778378,0.0014118229970335962,0.0016109232441522178,0.002067857079673558,True
110,partial_small,1,id20,4,aleatoric,0.01244355396181345,0.012116540223360062,0.014596660807728768,0.015455585159361362,0.017442119214683766,True
110,partial_small,1,id20,8,nmse_omitted_db,-22.60624841117859,-22.584425926208496,-21.923880958557127,-21.709518051147462,-21.350474643707276,True
110,partial_small,1,id20,8,epistemic,0.0017946375505998732,0.0016667258460074663,0.0024285254534333945,0.0027551137609407293,0.003572460908908397,True
110,partial_small,1,id20,8,aleatoric,0.02067802330479026,0.020127256400883198,0.023994727246463298,0.02547546606510877,0.028651869203895328,True
110,partial_small,1,id20,16,nmse_omitted_db,-20.12201552963257,-20.113601684570312,-19.46393394470215,-19.249750709533693,-18.952405090332032,True
110,partial_small,1,id20,16,epistemic,0.00314691460179165,0.0028698041569441557,0.004317991575226188,0.005019309720955788,0.007338521140627563,True
110,partial_small,1,id20,16,aleatoric,0.03333404649607837,0.032542310655117035,0.03837796524167061,0.04057081080973148,0.04567801225930452,True
110,partial_small,1,id20,32,nmse_omitted_db,-17.227922107696532,-17.221223831176758,-16.519634628295897,-16.304284286499023,-15.971688976287842,True
110,partial_small,1,id20,32,epistemic,0.009002792706713081,0.007730268174782395,0.013045192509889603,0.016134565509855734,0.028965250384062526,True
110,partial_small,1,id20,32,aleatoric,0.06234809849411249,0.060552455484867096,0.07244625762104988,0.07731552533805369,0.08743331857025623,True
110,partial_small,1,id80,4,nmse_omitted_db,-24.247450563430785,-24.2579984664917,-23.702465057373047,-23.558932399749757,-23.227342166900634,True
110,partial_small,1,id80,4,epistemic,0.0018848231344018131,0.001820151461288333,0.002390447072684765,0.0026153023354709144,0.003152768439613282,True
110,partial_small,1,id80,4,aleatoric,0.015493115558288991,0.015328929759562016,0.017266458831727505,0.018019248824566604,0.019339304696768523,True
