delay_ns,ng,median_z,mean_z,q90_z,q95_z,q99_z
110,4,0.4783874548744704,0.49033377862086647,0.658026238471968,0.7235755391265204,0.881359810267056
110,8,0.4782435280931385,0.48946442490517844,0.6334868569070362,0.682318785582557,0.8296592239008379
110,16,0.39081704143425217,0.4060903883737753,0.5519540622130781,0.6059540244510706,0.7854863638787661
110,32,0.17171774098437254,0.21529146003327984,0.5204913031232017,0.6747852392041636,1.0786063811117905
120,4,0.5376540190479849,0.5525773219429793,0.746366934058726,0.8111638836231087,1.012778427565961
120,8,0.5193134871111413,0.5345761831661172,0.6911732995204727,0.7409852328156593,0.8950555326703913
120,16,0.42899233111196267,0.44229074107423366,0.6067894691622909,0.6647844861686574,0.8171290261649542
120,32,0.22466013735402773,0.2784205643763994,0.6363613713166179,0.7730192685041856,1.1146780214201184
140,4,0.6690402544634874,0.7003868010860242,0.9688473880950694,1.0680732643382382,1.3212592272083439
140,8,0.6234037910492447,0.6423944935865948,0.8522678213020557,0.9075711011808286,1.0684670098201987
140,16,0.5052438651951849,0.5284938541922867,0.7141538404112653,0.7791138263432463,0.9542196103065589
140,32,0.38071448974850264,0.4365267616523643,0.8493029159039567,1.0211493025149,1.4513313820277582
160,4,0.8006959359207466,0.8594683502347112,1.2644807331732775,1.410409370593961,1.6792569665561903
160,8,0.7185231582210686,0.7517920774531341,1.037915971147326,1.139821580738265,1.288774570397876
160,16,0.5903746286276146,0.6143625400480053,0.8655805055323813,0.9509403217103243,1.1200965898393658
160,32,0.5296974101570042,0.5927808839298889,1.116568268350608,1.3102125249441647,1.676531220281272
200,4,1.0879326889903713,1.2159911501908465,1.919326468800847,2.214791916459736,2.8977899725231593
200,8,0.9177567060541703,0.9887496095872478,1.4214392501815825,1.6146949952687726,2.1830890801773495
200,16,0.7440800094096289,0.7969998850206911,1.1581838287216968,1.2701383710789265,1.7211156848500841
200,32,0.7558456855459819,0.8239223937447747,1.4544312765939253,1.6903274296469717,2.179201576918063
250,4,1.5068691732381743,1.63550672860465,2.589184495989453,2.990691324894353,3.7371669578710525
250,8,1.18965403285935,1.2963012307882051,1.9683382442847783,2.2522448761627842,3.0070005450658965
250,16,0.943189178405494,1.0343169486068835,1.54932934484675,1.7965831081991916,2.3024521556331554
250,32,1.1059099255306815,1.1576731162647336,1.961547383379141,2.2080130473587527,2.825283392749083
