experiment,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg
Experiment C + diag MV NLL,10 ns,10.0,200,-18.5587410736084,-18.517995071411132,0.4456900954246521,0.2650291919708252,1.0085678100585938,0.13128875195980072,2050.19873046875,0.3436097502708435,1.1987920999526978,0.3436097502708435,0.4042488634586334,0.2710411250591278,0.4058595895767212,0.277391642332077,0.29922598600387573,0.08940601348876953,0.2949340045452118,0.09364405274391174,-2644.840703125,13.005962448120117,0.013005963005125522
Experiment C + diag MV NLL,20 ns,20.0,200,-18.71883949279785,-18.68431671142578,0.44461435079574585,0.26366904377937317,0.9926424026489258,0.11777899414300919,2050.183349609375,0.34100937843322754,1.1832058429718018,0.34100934863090515,0.4089375138282776,0.2736649513244629,0.41673746705055237,0.2850727438926697,0.3093530833721161,0.07238754630088806,0.3091774582862854,0.07768997550010681,-2614.86900390625,12.996050453186035,0.012996051236987114
Experiment C + diag MV NLL,40 ns,40.0,200,-18.69854377746582,-18.66535186767578,0.44920673966407776,0.26553553342819214,1.0070055723190308,0.09136219322681427,2050.192138671875,0.3330836296081543,1.1920782327651978,0.3330836296081543,0.40738505125045776,0.2687315344810486,0.4055524170398712,0.2681789994239807,0.2935096323490143,0.03633668273687363,0.2937438189983368,0.0432593859732151,-2519.865439453125,13.878726959228516,0.013878727592527866
Experiment C + diag MV NLL,60 ns,60.0,200,-18.637061309814452,-18.599904556274414,0.4501318335533142,0.26607081294059753,1.0055822134017944,0.0581551194190979,2050.188232421875,0.3168574869632721,1.1882776021957397,0.3168574869632721,0.40615689754486084,0.26414063572883606,0.40228813886642456,0.2581446170806885,0.29412221908569336,0.06677091121673584,0.2972407639026642,0.07054794579744339,-2446.091025390625,14.314440765380859,0.014314441457390786
Experiment C + diag MV NLL,80 ns,80.0,200,-18.472387466430664,-18.430447998046876,0.4470750391483307,0.2643202841281891,1.0003923177719116,0.04674141854047775,2050.188720703125,0.3210586905479431,1.1886847019195557,0.3210586905479431,0.4040988087654114,0.2636704444885254,0.40173062682151794,0.25778698921203613,0.305804967880249,0.05827675387263298,0.31150153279304504,0.06197477504611015,-2430.92544921875,14.270249404907226,0.014270250052213669
Experiment C + diag MV NLL,100 ns,100.0,200,-18.193600463867188,-18.13349105834961,0.4468013644218445,0.26416340470314026,1.002582311630249,0.049704696983098984,2050.18994140625,0.32044366002082825,1.1898694038391113,0.32044363021850586,0.4031905233860016,0.2625596821308136,0.39993199706077576,0.2559942305088043,0.2996220588684082,0.06283310055732727,0.3044102191925049,0.0665072351694107,-2363.17396484375,15.16718334197998,0.015167184099555015
Experiment C + diag MV NLL,120 ns,120.0,200,-17.828290786743164,-17.754998397827148,0.44572216272354126,0.2645764946937561,1.0027669668197632,0.04781099781394005,2050.19140625,0.32161617279052734,1.1914504766464233,0.32161617279052734,0.4018864035606384,0.26292741298675537,0.39865702390670776,0.25659850239753723,0.3128505349159241,0.0691150426864624,0.3184114098548889,0.07289166003465652,-2262.964052734375,16.186804122924805,0.016186804920434953
Experiment C + diag MV NLL,200 ns,200.0,200,-15.337381210327148,-15.167529182434082,0.44443440437316895,0.2634894847869873,1.0017199516296387,0.04588034749031067,2050.19140625,0.3229909837245941,1.1912953853607178,0.32299095392227173,0.4010826051235199,0.2624657154083252,0.3981396555900574,0.25611332058906555,0.33043530583381653,0.16559287905693054,0.336739182472229,0.17157641053199768,-1669.0007177734376,28.2438916015625,0.02824389308691025
Experiment C + diag MV NLL,500 ns,500.0,200,-7.243496017456055,-6.980708484649658,0.440155565738678,0.26212164759635925,1.0021265745162964,0.04382210224866867,2050.194091796875,0.3261326551437378,1.194089651107788,0.3261326551437378,0.3967497646808624,0.26108139753341675,0.39351901412010193,0.2543180584907532,0.240949809551239,0.2805742621421814,0.24607153236865997,0.2917419373989105,221.94852294921876,180.232900390625,0.18023290753364563
Experiment C + diag MV NLL,1 ms,1000000.0,200,2.5718172359466553,2.8506910228729248,0.43317219614982605,0.2580886781215668,0.9985610246658325,0.059680189937353134,2050.2001953125,0.33474528789520264,1.2001475095748901,0.33474528789520264,0.3899916708469391,0.25843122601509094,0.38901615142822266,0.25433623790740967,0.0013598731020465493,0.019305985420942307,-0.00017647244385443628,0.017548730596899986,2807.59375,1840.1633251953126,1.8401634120941162
