model,unique_cfr,epochs,batch,nmse_20_db,nmse_80_db,nmse_120_db,nmse_1ms_db,auc_id_near,auc_80_vs_120,auc_id_far,auc_pooled,fig9_id_mae,fig9_near_mae,fig9_far_mae,fig9_ood_mae,coverage_ood_0.9,coverage_far_0.9,nu_status,coverage_ood_0.5,coverage_ood_0.8,coverage_ood_0.95,coverage_ood_0.99
100k×1 batch8 FP32,100000,1,8,-18.977134017944337,-17.858563232421876,-15.153061141967774,1.250790138244629,0.62081077,0.596736455,0.9969654325,0.80888810125,0.0086270638020833,0.1170937682291666,0.6555482005208333,0.386320984375,0.7622930338541667,0.1728020703125,finite status from prior evaluation not re-audited,,,,
100k×5 batch8 FP32,100000,5,8,-21.802321243286134,-19.47675308227539,-16.467568130493163,1.306379051208496,0.9478218975,0.916431455,,,0.0008239947916666,0.0853705598958333,,,0.8005624609375,0.993589296875,nonfinite/inf in Far,,,,
100k×5 batch400 BF16,100000,5,400,-17.349727000808716,-17.09395601081848,-15.848734279441834,1.41613371437788,0.5422629274999999,0.5274300150000001,0.8030763974999999,0.6726696625,0.2698025958806818,0.2409037062026515,0.2920210049715908,0.0859425142045454,0.7358187239583334,0.4717468619791666,"finite; min nu=2051.598, nonfinite=0",0.5487956966145834,0.6790788151041667,0.7866904296875,0.88651953125
