delay_ns,severity_median_z_primary,selected_scope,policy_threshold
130,0.42887387250034215,partial_small,0.6549994334350574
180,0.6534895379962828,partial_small,0.6549994334350574
220,0.8390375311340883,partial_medium,0.6549994334350574
