delay_ns,seed,scope,regime,ng,metric,mean,median,q90,q95,q99,finite
130,20260921,partial_small,target,4,nmse_omitted_db,-22.99554627609253,-23.004878997802734,-22.420750617980957,-22.23522481918335,-21.907674140930176,True
130,20260921,partial_small,target,4,epistemic,0.004288528182148002,0.0037944004870951176,0.0063377304933965204,0.007677892921492458,0.012456737104803335,True
130,20260921,partial_small,target,4,aleatoric,0.018691766544990242,0.018506956286728382,0.020981034822762014,0.021880316827446223,0.023755648527294396,True
130,20260921,partial_small,target,8,nmse_omitted_db,-20.5319913898468,-20.533838272094727,-19.983996391296387,-19.82370376586914,-19.532615909576414,True
130,20260921,partial_small,target,8,epistemic,0.005615932296589017,0.005171843804419041,0.00781230782158673,0.009026275342330338,0.012794423121959008,True
130,20260921,partial_small,target,8,aleatoric,0.02978826446197927,0.029563062824308872,0.032885942980647086,0.0340824369341135,0.03668230030685663,True
130,20260921,partial_small,target,16,nmse_omitted_db,-17.84428738746643,-17.84495258331299,-17.242256546020506,-17.07071590423584,-16.753374996185304,True
130,20260921,partial_small,target,16,epistemic,0.009232937817741186,0.008542080875486135,0.012798369023948911,0.0148855893407017,0.020705771986395127,True
130,20260921,partial_small,target,16,aleatoric,0.04628424870744348,0.04588422738015652,0.05083023011684418,0.05285594016313553,0.05655301995575428,True
130,20260921,partial_small,target,32,nmse_omitted_db,-14.819748254776002,-14.846269607543945,-14.013598251342772,-13.77610445022583,-13.232336997985838,True
130,20260921,partial_small,target,32,epistemic,0.057812976847589015,0.04016195796430111,0.09831016808748248,0.14548669382929805,0.3281371435523036,True
130,20260921,partial_small,target,32,aleatoric,0.08914664059132338,0.0878148153424263,0.10045749694108963,0.10556717179715634,0.11559671998023989,True
130,20260921,partial_small,id20,4,nmse_omitted_db,-23.79633095703125,-23.797515869140625,-23.09674129486084,-22.902313899993896,-22.528079624176023,True
130,20260921,partial_small,id20,4,epistemic,0.001086539180460386,0.001010753563605249,0.0014409229275770487,0.0016250217624474317,0.002160750916227699,True
130,20260921,partial_small,id20,4,aleatoric,0.012663344786316156,0.012338797096163034,0.014797706902027133,0.015778190828859805,0.01792282477021219,True
130,20260921,partial_small,id20,8,nmse_omitted_db,-21.338151919174194,-21.34283447265625,-20.624621200561524,-20.42909440994263,-20.087946376800538,True
130,20260921,partial_small,id20,8,epistemic,0.0018375837288098409,0.001697646512184292,0.002459778659977019,0.0028088553226552904,0.003948734388686718,True
130,20260921,partial_small,id20,8,aleatoric,0.021045440802723168,0.020485302433371544,0.024342872947454453,0.025872536655515435,0.02944069717079402,True
130,20260921,partial_small,id20,16,nmse_omitted_db,-18.991268581771852,-18.984073638916016,-18.33694496154785,-18.169184494018555,-17.819022884368895,True
130,20260921,partial_small,id20,16,epistemic,0.003231867983774282,0.0029177856631577015,0.004400001373142006,0.005204065167345109,0.007807845375500628,True
130,20260921,partial_small,id20,16,aleatoric,0.03387833434827626,0.03296685218811035,0.03904496990144253,0.041559251956641674,0.04851445235311989,True
130,20260921,partial_small,id20,32,nmse_omitted_db,-16.281856268501283,-16.269803047180176,-15.595128440856932,-15.419393730163574,-15.06230707168579,True
130,20260921,partial_small,id20,32,epistemic,0.00974587324457243,0.007904286962002516,0.01361310631036759,0.01694585010409356,0.03388462562114011,True
130,20260921,partial_small,id20,32,aleatoric,0.06390779212713242,0.06212257780134678,0.07462716773152352,0.07996861077845097,0.09545280262827878,True
130,20260921,partial_small,id80,4,nmse_omitted_db,-23.695029702758788,-23.69967269897461,-23.178947257995606,-23.02271957397461,-22.757455253601073,True
130,20260921,partial_small,id80,4,epistemic,0.0019356573652941733,0.0018496832926757634,0.0024485024856403474,0.002702695853076876,0.0033677270682528626,True
130,20260921,partial_small,id80,4,aleatoric,0.015876524175330996,0.015652216039597988,0.01774062141776085,0.018524575605988504,0.020240875333547598,True
130,20260921,partial_small,id80,8,nmse_omitted_db,-21.24670431137085,-21.237881660461426,-20.72482624053955,-20.579164218902587,-20.32022943496704,True
130,20260921,partial_small,id80,8,epistemic,0.003075556727079675,0.0029454535106197,0.0038462223019450903,0.004256790806539357,0.0052438446180895016,True
130,20260921,partial_small,id80,8,aleatoric,0.026290669344365598,0.02596990577876568,0.028956743888556957,0.030074698943644763,0.0325449399650097,True
