regime,samples,nmse_all_db,nmse_omitted_db,nll,raw_l_reg,lambda_reg_x_l_reg,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,psi_omitted_mean,psi_omitted_std,psi_all_mean,psi_all_std,kappa_omitted_mean,kappa_omitted_std,kappa_all_mean,kappa_all_std,nu_omitted_mean,nu_omitted_std,nu_all_mean,nu_all_std,df_cov_omitted_mean,df_cov_omitted_std,df_cov_all_mean,df_cov_all_std,aleatoric_omitted_mean,aleatoric_omitted_std,aleatoric_all_mean,aleatoric_all_std,epistemic_omitted_mean,epistemic_omitted_std,epistemic_all_mean,epistemic_all_std
ID-Easy 20 ns,200,-18.01639663696289,-18.039645538330078,-2297.28365234375,34454.3434375,34.45434463500977,0.38066285848617554,0.10112741589546204,0.36674532294273376,0.10847299546003342,0.31575754284858704,0.14013656973838806,0.31697532534599304,0.13689132034778595,1.0889439582824707,0.13008373975753784,1.0889439582824707,0.13008373975753784,2051.282958984375,0.2845626771450043,2051.282958984375,0.2845626771450043,2.282979965209961,0.2845626771450043,2.282979965209961,0.2845626771450043,0.14144101738929749,0.06845580786466599,0.14201362431049347,0.06723043322563171,0.13201045989990234,0.06785564869642258,0.13254299759864807,0.06674398481845856
ID-Hard 80 ns,200,-18.037036972045897,-18.066192016601562,-2252.44173828125,32904.39546875,32.90439636230469,0.3934977948665619,0.08209612220525742,0.3972266614437103,0.10810105502605438,0.3130229413509369,0.1391427367925644,0.31436631083488464,0.13592074811458588,1.0950902700424194,0.049282245337963104,1.0950902700424194,0.049282245337963104,2051.29443359375,0.13654741644859314,2051.29443359375,0.13654741644859314,2.2945170402526855,0.13654738664627075,2.2945168018341064,0.13654738664627075,0.1369466781616211,0.0616636760532856,0.13753947615623474,0.06028898060321808,0.1250370889902115,0.05617833137512207,0.12558066844940186,0.05491076782345772
OOD-Near 120 ns,200,-17.520905151367188,-17.516030578613282,-2135.56419921875,36215.026875,36.21502792358398,0.41329896450042725,0.0715559870004654,0.4161117374897003,0.08932022750377655,0.31127530336380005,0.13879001140594482,0.31269484758377075,0.13558374345302582,1.0971534252166748,0.052044790238142014,1.0971535444259644,0.052044790238142014,2051.305419921875,0.13529132306575775,2051.305419921875,0.13529132306575775,2.305222749710083,0.1352911740541458,2.305222749710083,0.1352911740541458,0.13548898696899414,0.061083756387233734,0.13611295819282532,0.059719063341617584,0.12348244339227676,0.05557110533118248,0.12405318021774292,0.05431244522333145
