epoch,train_nll,train_raw_l_reg,train_lambda_reg_x_l_reg,train_total,validation_nll,validation_raw_l_reg,validation_lambda_reg_x_l_reg,validation_total
1,997.0585342407227,978067.9745,978.0680161132813,1975.126552001953,821.1425439453125,674138.5725,674.1386059570312,1495.28115234375
2,-158.6637313232422,461037.744625,461.0377657470703,302.37403552246093,-1202.3231909179688,91320.8690625,91.3208740234375,-1111.0023388671875
3,-984.9588991699219,265830.172125,265.83018392944336,-719.1287155761719,-1522.1597119140624,62054.875,62.05487731933594,-1460.1048486328125
4,-1195.1599721679688,212936.791578125,212.93680236816405,-982.2231740722656,-1454.10615234375,75240.025625,75.24002899169922,-1378.8661083984375
5,-1587.9516704101563,138198.271921875,138.1982787322998,-1449.7533918457032,-2312.771708984375,32146.87234375,32.14687393188476,-2280.624873046875
