experiment,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
lambda=1e-3 reference,ID-Easy 20 ns,20.0,200,-18.115343475341795,-18.118596801757814,0.20177404582500458,0.10709846764802933,8.023396492004395,0.37347352504730225,2067.1845703125,0.7818539142608643,18.184682846069336,0.7818539142608643,0.011152361519634724,0.006054246798157692,0.0013985203113406897,0.0007794972043484449,0.2677844166755676,0.1725664585828781,0.2711932063102722,0.17545868456363678,-2157.393740234375,34368.403125,34.368404693603516,0.01593052026270851,15.0,15.006921577453614,0.2712617061958575,0.0004239603294990957,0.010554375126957893,0.0013175782514736056,0.003517585340887308,0.010746577754616737,0.0013446087250486016,0.020305778831243515,0.012156134471297264,0.0015333743067458272
lambda=1e-3 reference,ID-Hard 80 ns,80.0,200,-17.519712829589842,-17.5193733215332,0.2009590119123459,0.10531901568174362,7.989613056182861,0.20863386988639832,2067.12451171875,0.3908076286315918,18.124526977539062,0.3908076286315918,0.01110798493027687,0.0058668856509029865,0.0013930444838479161,0.0007419685716740787,0.2896268963813782,0.13492606580257416,0.29319170117378235,0.1421593725681305,-2028.89361328125,37335.89171875,37.3358935546875,0.018402095265173418,15.0,15.015780868530273,0.24497045564676598,0.00048188341315835714,0.010564922355115414,0.0013219923712313175,0.003936426714062691,0.010723046027123928,0.001343175652436912,0.02194000780582428,0.01203598827123642,0.0015139650786295533
lambda=1e-3 reference,OOD-Near 120 ns,120.0,200,-15.543002738952637,-15.540113754272461,0.20236803591251373,0.10495664179325104,7.943832874298096,0.21346326172351837,2067.021240234375,0.3727991580963135,18.021526336669922,0.3727990388870239,0.011247217655181885,0.005870905239135027,0.001418661093339324,0.0007465041126124561,0.26487281918525696,0.09408397972583771,0.26735368371009827,0.0989532396197319,-1571.6548095703124,56820.71796875,56.82072021484375,0.036153435136317816,15.0,15.00197769165039,0.282421391047392,0.0007742174784652889,0.010809067636728287,0.0013613251503556967,0.006229756399989128,0.010904502123594284,0.0013744378229603171,0.03313850238919258,0.012028085999190807,0.00152022042311728
lambda=1e-3 reference,OOD-Far 1 ms,1000000.0,200,1.3901911115646362,1.5956098556518554,0.24806074798107147,0.11552795767784119,7.015880107879639,0.38710466027259827,2064.69482421875,0.9189661741256714,15.694941520690918,0.9189661741256714,0.015967238694429398,0.007828605361282825,0.0023042403627187014,0.001208287081681192,0.0683160349726677,0.08283305913209915,0.07642463594675064,0.08561663329601288,2530.75623046875,2933886.32,2933.88646484375,1.1592924002359324,15.0,14.98625015258789,0.2701717535546611,0.04261322692036629,0.015656372532248497,0.00225045345723629,0.34758850932121277,0.015790285542607307,0.0022738890256732702,1.7858246564865112,0.016455059871077538,0.002388378605246544
