regime,samples,mean_nmse_omitted_db,std_nmse_omitted_db,mean_total_uncertainty,std_total_uncertainty,pearson,spearman,low30_nmse_omitted_db,all_nmse_omitted_db
ID-Easy 20 ns,200,-17.711843547821044,0.6280892545016975,0.023561615934595465,0.00364273775450799,-0.2845574194195155,-0.3264576614415361,-17.52065881093343,-17.711843547821044
ID-Hard 80 ns,200,-17.250189661979675,0.5787878703975069,0.023466387959197164,0.0020395750523582085,-0.6200835890572131,-0.6256986424660617,-16.74405369758606,-17.250189661979675
OOD-Near 120 ns,200,-15.373365950584411,0.8243699399623052,0.02368970151990652,0.001905608794054517,-0.6355604859120196,-0.6698147453686344,-14.615521780649821,-15.373365950584411
OOD-Far 1 ms,200,1.5547516804933548,0.19129179333133506,0.03300980854779482,0.005067217179750315,-0.11966442078946368,-0.11844146103652592,1.6138166983922322,1.5547516804933548
