sample_index,nmse_omitted_db,aleatoric,epistemic,total_uncertainty,regime
0,-17.83333396911621,0.032595034688711166,0.004636176396161318,0.0372312106192112,ID-Easy 20 ns
1,-17.500625610351562,0.019540518522262573,0.002409059787169099,0.02194957807660103,ID-Easy 20 ns
2,-17.676504135131836,0.02752625197172165,0.0037776336539536715,0.03130388632416725,ID-Easy 20 ns
3,-17.181459426879883,0.018831484019756317,0.0023083719424903393,0.021139856427907944,ID-Easy 20 ns
4,-17.686962127685547,0.017329759895801544,0.002026003086939454,0.019355762749910355,ID-Easy 20 ns
5,-17.561870574951172,0.02441299334168434,0.0030687241815030575,0.027481717988848686,ID-Easy 20 ns
6,-17.396711349487305,0.019095953553915024,0.0023519734386354685,0.02144792675971985,ID-Easy 20 ns
7,-16.945606231689453,0.020901544019579887,0.002725491765886545,0.023627035319805145,ID-Easy 20 ns
8,-17.37066650390625,0.019397249445319176,0.002416579984128475,0.021813828498125076,ID-Easy 20 ns
9,-17.663972854614258,0.018581856042146683,0.0023419491481035948,0.020923804491758347,ID-Easy 20 ns
10,-16.89407730102539,0.018572207540273666,0.00226544844917953,0.020837655290961266,ID-Easy 20 ns
11,-17.07863426208496,0.020828066393733025,0.0026984054129570723,0.023526471108198166,ID-Easy 20 ns
12,-17.492223739624023,0.021862061694264412,0.0027346545830368996,0.024596717208623886,ID-Easy 20 ns
13,-18.052223205566406,0.02856750227510929,0.0039319563657045364,0.03249945864081383,ID-Easy 20 ns
14,-17.975833892822266,0.027022093534469604,0.0035034166648983955,0.030525509268045425,ID-Easy 20 ns
15,-18.319992065429688,0.024996209889650345,0.003391347359865904,0.028387557715177536,ID-Easy 20 ns
16,-17.90252113342285,0.019189029932022095,0.00239295931532979,0.021581988781690598,ID-Easy 20 ns
17,-17.584712982177734,0.019795648753643036,0.0024892573710530996,0.02228490635752678,ID-Easy 20 ns
18,-18.270397186279297,0.0223145242780447,0.0029331024270504713,0.02524762600660324,ID-Easy 20 ns
19,-18.52596092224121,0.020495109260082245,0.0027123973704874516,0.02320750616490841,ID-Easy 20 ns
20,-17.195045471191406,0.017455117776989937,0.0021300078369677067,0.019585125148296356,ID-Easy 20 ns
21,-18.208602905273438,0.0200360044836998,0.0026698445435613394,0.02270584926009178,ID-Easy 20 ns
22,-17.51197052001953,0.01905657723546028,0.002380529884248972,0.021437106654047966,ID-Easy 20 ns
23,-19.17991065979004,0.02264823392033577,0.003112918697297573,0.025761153548955917,ID-Easy 20 ns
24,-16.877344131469727,0.019136611372232437,0.002475914778187871,0.02161252684891224,ID-Easy 20 ns
25,-18.292631149291992,0.018324341624975204,0.0021837661042809486,0.02050810679793358,ID-Easy 20 ns
26,-18.21016502380371,0.019605478271842003,0.002466436242684722,0.02207191474735737,ID-Easy 20 ns
27,-18.301481246948242,0.021181771531701088,0.002803715644404292,0.02398548647761345,ID-Easy 20 ns
28,-18.216880798339844,0.017717890441417694,0.002155619440600276,0.01987350918352604,ID-Easy 20 ns
29,-17.5399169921875,0.019747646525502205,0.002508527133613825,0.022256173193454742,ID-Easy 20 ns
30,-17.874738693237305,0.025968259200453758,0.0032778247259557247,0.02924608439207077,ID-Easy 20 ns
31,-18.080732345581055,0.02180919237434864,0.0028776174876838923,0.02468680962920189,ID-Easy 20 ns
32,-17.34423065185547,0.020016800612211227,0.002543722279369831,0.022560521960258484,ID-Easy 20 ns
33,-16.932636260986328,0.019844865426421165,0.002657451666891575,0.022502318024635315,ID-Easy 20 ns
34,-18.204313278198242,0.022665446624159813,0.0030120278242975473,0.025677474215626717,ID-Easy 20 ns
35,-18.358848571777344,0.02293548919260502,0.003021962009370327,0.02595745027065277,ID-Easy 20 ns
36,-16.90399169921875,0.019546406343579292,0.002442974364385009,0.021989380940794945,ID-Easy 20 ns
37,-18.023956298828125,0.01753184013068676,0.0020475233905017376,0.019579363986849785,ID-Easy 20 ns
38,-18.400772094726562,0.020538773387670517,0.0026233133394271135,0.02316208742558956,ID-Easy 20 ns
39,-17.59958839416504,0.024331267923116684,0.0031713275238871574,0.027502596378326416,ID-Easy 20 ns
40,-18.089265823364258,0.020138410851359367,0.0025680894032120705,0.022706501185894012,ID-Easy 20 ns
41,-18.10854148864746,0.0278730820864439,0.003969142213463783,0.031842224299907684,ID-Easy 20 ns
42,-19.055906295776367,0.019432557746767998,0.0023362908978015184,0.021768849343061447,ID-Easy 20 ns
43,-17.17809295654297,0.020516034215688705,0.0026394871529191732,0.023155521601438522,ID-Easy 20 ns
44,-17.822208404541016,0.020865416154265404,0.0027851900085806847,0.023650605231523514,ID-Easy 20 ns
45,-17.94037437438965,0.0200174693018198,0.002501480281352997,0.022518949583172798,ID-Easy 20 ns
46,-16.507863998413086,0.016963962465524673,0.002091177273541689,0.019055139273405075,ID-Easy 20 ns
47,-18.224369049072266,0.02446906641125679,0.0031718104146420956,0.027640877291560173,ID-Easy 20 ns
48,-18.097618103027344,0.01769554428756237,0.0021900623105466366,0.019885607063770294,ID-Easy 20 ns
49,-18.45229721069336,0.024947505444288254,0.003317303257063031,0.028264809399843216,ID-Easy 20 ns
50,-19.11444091796875,0.021303074434399605,0.0026621317956596613,0.023965205997228622,ID-Easy 20 ns
51,-17.089981079101562,0.020611343905329704,0.0025745441671460867,0.023185888305306435,ID-Easy 20 ns
52,-18.73428726196289,0.021586891263723373,0.002749806037172675,0.024336697533726692,ID-Easy 20 ns
53,-17.219703674316406,0.019761567935347557,0.0025395189877599478,0.02230108715593815,ID-Easy 20 ns
54,-17.36868667602539,0.01722130738198757,0.0021209598053246737,0.019342267885804176,ID-Easy 20 ns
55,-17.406742095947266,0.01742503046989441,0.0021764941047877073,0.019601523876190186,ID-Easy 20 ns
56,-17.924192428588867,0.024486826732754707,0.0031841681338846684,0.02767099440097809,ID-Easy 20 ns
57,-17.035810470581055,0.02077886275947094,0.002655046759173274,0.023433908820152283,ID-Easy 20 ns
58,-17.415142059326172,0.028054676949977875,0.003924498800188303,0.03197917714715004,ID-Easy 20 ns
59,-18.38383674621582,0.021242909133434296,0.0027409547474235296,0.02398386411368847,ID-Easy 20 ns
60,-17.513582229614258,0.02080998569726944,0.0025854152627289295,0.023395400494337082,ID-Easy 20 ns
61,-18.350345611572266,0.020893407985568047,0.0026097013615071774,0.02350310981273651,ID-Easy 20 ns
62,-16.633251190185547,0.01659003086388111,0.0020273670088499784,0.01861739717423916,ID-Easy 20 ns
63,-17.780595779418945,0.019973210990428925,0.002543472684919834,0.022516682744026184,ID-Easy 20 ns
64,-18.045841217041016,0.019853848963975906,0.0025391916278749704,0.022393040359020233,ID-Easy 20 ns
65,-18.015857696533203,0.02902805805206299,0.004215554799884558,0.033243611454963684,ID-Easy 20 ns
66,-17.46686553955078,0.017622793093323708,0.0021758482325822115,0.01979864202439785,ID-Easy 20 ns
67,-18.36785888671875,0.017948541790246964,0.0021263479720801115,0.020074889063835144,ID-Easy 20 ns
68,-17.972261428833008,0.01751558855175972,0.0021184163633733988,0.019634004682302475,ID-Easy 20 ns
69,-18.244346618652344,0.020470311865210533,0.0024140924215316772,0.02288440428674221,ID-Easy 20 ns
70,-18.092304229736328,0.023329418152570724,0.002878335304558277,0.026207752525806427,ID-Easy 20 ns
71,-18.205692291259766,0.023766804486513138,0.003162537468597293,0.0269293412566185,ID-Easy 20 ns
72,-17.29559326171875,0.020973600447177887,0.0027005509473383427,0.023674150928854942,ID-Easy 20 ns
73,-18.110496520996094,0.02150406688451767,0.0027510379441082478,0.02425510436296463,ID-Easy 20 ns
74,-17.414836883544922,0.02001764066517353,0.0024987778160721064,0.022516418248414993,ID-Easy 20 ns
75,-18.80891990661621,0.01911154016852379,0.0022331541404128075,0.02134469524025917,ID-Easy 20 ns
76,-17.374832153320312,0.02119944803416729,0.0026805901434272528,0.023880038410425186,ID-Easy 20 ns
77,-17.708698272705078,0.017354799434542656,0.002118357690051198,0.019473157823085785,ID-Easy 20 ns
78,-16.625093460083008,0.019832229241728783,0.0024535858538001776,0.022285815328359604,ID-Easy 20 ns
79,-17.094942092895508,0.018975643441081047,0.0022996768821030855,0.021275321021676064,ID-Easy 20 ns
80,-17.875669479370117,0.01648412086069584,0.0019110881257802248,0.018395209684967995,ID-Easy 20 ns
81,-16.752368927001953,0.01725093275308609,0.0020780398044735193,0.019328972324728966,ID-Easy 20 ns
82,-17.346742630004883,0.020550811663269997,0.002571132266893983,0.023121943697333336,ID-Easy 20 ns
83,-16.84876251220703,0.020464498549699783,0.002670606365427375,0.023135105147957802,ID-Easy 20 ns
84,-17.651718139648438,0.017741655930876732,0.0021570289973169565,0.019898684695363045,ID-Easy 20 ns
85,-16.919239044189453,0.018034188076853752,0.002300830092281103,0.020335018634796143,ID-Easy 20 ns
86,-17.508533477783203,0.016764817759394646,0.0020383037626743317,0.018803121522068977,ID-Easy 20 ns
87,-17.368364334106445,0.02919432520866394,0.0043111760169267654,0.03350549936294556,ID-Easy 20 ns
88,-17.067005157470703,0.016632502898573875,0.002041656756773591,0.018674159422516823,ID-Easy 20 ns
