regime,samples,mean,median,std,p05,p25,p50,p75,p95
ID-Easy 20 ns,200,0.0026766239269636572,0.002565177041105926,0.0005294189674015234,0.0020351935527287424,0.0022651436156593263,0.002565177041105926,0.002961263060569763,0.0037904949625954024
ID-Hard 80 ns,200,0.0026439910847693682,0.002622398314997554,0.0002742707951789041,0.0022808950045146046,0.0024383021518588066,0.002622398314997554,0.0028078495524823666,0.0031771325855515895
OOD-Near 120 ns,200,0.002676597193349153,0.002655285526998341,0.00025804239175728584,0.0023231153842061757,0.002487052755896002,0.002655285526998341,0.0028277853270992637,0.0031407855567522343
OOD-Far 1 ms,200,0.004131526426644996,0.003975179512053728,0.000812546612763678,0.003146364027634263,0.003560755983926356,0.003975179512053728,0.004571889177896082,0.005453071673400697
