regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-18.61270393371582,-18.612981414794923,0.013578689657151699,0.0022916803136467934,-2261.801298828125,31089.36859375,310.8936755371094
ID-Hard 80 ns,-17.822136688232423,-17.819457092285155,0.013548767194151878,0.002277055522426963,-2100.9699658203126,34966.90671875,349.6690612792969
OOD-Far 1 ms,1.3200165557861328,1.5199258995056153,0.020494546741247177,0.003979220520704985,2506.98224609375,2878789.98,28787.89890625
OOD-Near 120 ns,-15.623245124816895,-15.62238437652588,0.013812876306474209,0.0023381931241601706,-1594.2947412109374,55637.4253125,556.3742529296875
