epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
1,ID-Easy 20 ns,20.0,200,-13.575618667602539,-13.656693954467773,0.5757098197937012,0.10549163073301315,1.260735273361206,0.1288381814956665,2050.116455078125,0.15685516595840454,1.1164159774780273,0.15685516595840454,0.528370201587677,0.1361004114151001,0.42721208930015564,0.13183334469795227,0.08916022628545761,0.06282896548509598,0.07215213030576706,0.047535184770822525,-1081.6386181640626,95536.5275,955.3652587890625,0.8832573493001159,15.0,14.975807647705079,0.26704728171575887,0.0011606054613366723,0.5200046300888062,0.420430988073349,0.009635274298489094,0.523711621761322,0.42345014214515686,0.05627914518117905,0.5413944125175476,0.4377550780773163
1,ID-Hard 80 ns,80.0,200,-13.60338851928711,-13.679282302856445,0.5753473043441772,0.10407643020153046,1.250917673110962,0.05758650228381157,2050.109130859375,0.050969939678907394,1.109119176864624,0.050969935953617096,0.5198513269424438,0.0970403328537941,0.41689175367355347,0.08222837746143341,0.0911300778388977,0.0664418488740921,0.07139584422111511,0.05203026905655861,-1068.6494165039062,91914.043125,919.1404150390625,0.8600953697588081,15.0,15.003419342041015,0.2547487409902887,0.0011424219701439142,0.5138576626777649,0.41283053159713745,0.009507440961897373,0.5168371200561523,0.4149315059185028,0.05390557274222374,0.5288592576980591,0.42291319370269775
1,OOD-Far 1 ms,1000000.0,200,1.9843858814239501,2.2383391666412353,0.5748950242996216,0.10374780744314194,1.22260320186615,0.06165885180234909,2050.091064453125,0.06475164741277695,1.0911028385162354,0.06475163251161575,0.5290866494178772,0.10255469381809235,0.4345927834510803,0.09076566249132156,-0.024743173271417618,-0.022031370550394058,-0.026127047836780548,-0.022761933505535126,2673.15083984375,3327060.7,33270.60578125,12.446213391785351,15.0,15.005892143249511,0.24637874231902782,0.04950646683573723,0.5308781862258911,0.43623968958854675,0.40365269780158997,0.5300344228744507,0.43547868728637695,2.066547393798828,0.5263471603393555,0.4320598542690277
1,OOD-Near 120 ns,120.0,200,-13.334102172851562,-13.399169578552247,0.5743821263313293,0.10315242409706116,1.249303936958313,0.062135372310876846,2050.109619140625,0.05506104975938797,1.1096975803375244,0.05506099388003349,0.5189434289932251,0.0970645397901535,0.41696345806121826,0.08337932825088501,0.08083850145339966,0.05693136155605316,0.06413333117961884,0.044884271919727325,-1013.1385107421875,95870.9896875,958.7098828125,0.9462772095206629,15.0,14.99090560913086,0.2707705227594815,0.0012119114398956299,0.5137444138526917,0.41332441568374634,0.010008691810071468,0.51636803150177,0.41531074047088623,0.056267425417900085,0.5267178416252136,0.4222553074359894
2,ID-Easy 20 ns,20.0,200,-15.159620742797852,-15.172382240295411,0.4273372292518616,0.0561671257019043,2.7060580253601074,0.16624462604522705,2052.24609375,0.218907430768013,3.2462401390075684,0.21890738606452942,0.1323792040348053,0.020738635212183,0.04912238568067551,0.008407949469983578,0.13536770641803741,0.06588209420442581,0.09880023449659348,0.037230752408504486,-1432.6291015625,67374.485625,673.7448413085938,0.4702856032793622,15.0,14.997757911682129,0.27129987054080895,0.0008201927994377911,0.13097678124904633,0.04877421259880066,0.006856917403638363,0.13156037032604218,0.04890274628996849,0.04019588604569435,0.1346004605293274,0.049690209329128265
2,ID-Hard 80 ns,80.0,200,-14.959948120117188,-14.966336669921875,0.42559850215911865,0.054125044494867325,2.6913962364196777,0.10071466118097305,2052.242431640625,0.09396562725305557,3.2422995567321777,0.09396553039550781,0.1313462257385254,0.016935838386416435,0.04883866384625435,0.006332674529403448,0.13578686118125916,0.06614012271165848,0.11069969832897186,0.041864555329084396,-1377.11248046875,67609.5890625,676.0958715820312,0.4909518148778872,15.0,15.005968742370605,0.25995335069542175,0.000866801361553371,0.1302594542503357,0.04857402667403221,0.007135918829590082,0.13068893551826477,0.0486547090113163,0.04011675342917442,0.1330903023481369,0.049287255853414536
2,OOD-Far 1 ms,1000000.0,200,1.7729087924957276,2.022711143493652,0.44127750396728516,0.0579376295208931,2.545020580291748,0.10101762413978577,2052.03076171875,0.11457156389951706,3.0308239459991455,0.11457154154777527,0.14587290585041046,0.020522398874163628,0.05742069333791733,0.00853927806019783,0.06543181836605072,0.04857022687792778,0.06309196352958679,0.04738297313451767,2592.82919921875,3178450.5,31784.504296875,12.258618618738735,15.0,15.048698883056641,0.28407814713689106,0.046959105879068375,0.14501971006393433,0.05707460641860962,0.38318106532096863,0.14540927112102509,0.05723666772246361,1.9709980487823486,0.14718970656394958,0.057950787246227264
2,OOD-Near 120 ns,120.0,200,-14.521056365966796,-14.522058486938477,0.4264584481716156,0.054149482399225235,2.679725170135498,0.10310768336057663,2052.225341796875,0.09821384400129318,3.2252631187438965,0.0982138141989708,0.1323179453611374,0.017085960134863853,0.049425557255744934,0.0064970506355166435,0.14090390503406525,0.05960604175925255,0.11717048287391663,0.039671391248703,-1288.311728515625,72964.565625,729.6456420898437,0.5663579907984443,15.0,15.005629730224609,0.24798567709593625,0.0009521080064587295,0.13128963112831116,0.04915689304471016,0.007844226434826851,0.13169272243976593,0.04924778267741203,0.043191101402044296,0.1339714676141739,0.049871984869241714
3,ID-Easy 20 ns,20.0,200,-16.244823837280272,-16.241091537475587,0.3243865370750427,0.06477611511945724,3.7305870056152344,0.22931994497776031,2054.420654296875,0.3986278176307678,5.420688629150391,0.3986278176307678,0.06048091500997543,0.014606967568397522,0.016335247084498405,0.004358852282166481,0.2250124216079712,0.16008439660072327,0.21229365468025208,0.14560526609420776,-1695.4144970703126,52937.15,529.371484375,0.31223720528911075,15.0,15.011744117736816,0.269451674941243,0.0006651413859799504,0.058490559458732605,0.015773756429553032,0.005475054495036602,0.05937858670949936,0.01602521911263466,0.031574904918670654,0.06357359886169434,0.017206761986017227
3,ID-Hard 80 ns,80.0,200,-16.013015747070312,-16.007797622680663,0.32297542691230774,0.06313567608594894,3.7054152488708496,0.11781523376703262,2054.405029296875,0.18501321971416473,5.404923915863037,0.18501318991184235,0.05992332100868225,0.012452177703380585,0.016197383403778076,0.0034580391366034746,0.22094115614891052,0.13859263062477112,0.22162993252277374,0.14112751185894012,-1643.9033251953124,53513.34375,535.1334252929687,0.3255260921296173,15.0,15.005388145446778,0.2648897613642743,0.0006896190461702645,0.05848424881696701,0.015790347009897232,0.005715051665902138,0.059041280299425125,0.015950968489050865,0.03173287212848663,0.06224444508552551,0.01685083471238613
