epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg,reg_to_nll_ratio,requested_snr_db,measured_snr_db_mean,measured_snr_db_std,error_bin_0_error_mean,error_bin_0_aleatoric_mean,error_bin_0_epistemic_mean,error_bin_1_error_mean,error_bin_1_aleatoric_mean,error_bin_1_epistemic_mean,error_bin_2_error_mean,error_bin_2_aleatoric_mean,error_bin_2_epistemic_mean
1,ID-Easy 20 ns,20.0,200,-14.15968994140625,-14.247268409729005,0.43883389234542847,0.1293053925037384,1.0339194536209106,0.09181133657693863,2050.395751953125,0.18185795843601227,1.3957818746566772,0.18185795843601227,0.3218257427215576,0.11234558373689651,0.3143596649169922,0.1152079701423645,0.20104916393756866,0.12326973676681519,0.17200757563114166,0.09131719917058945,-1242.52255859375,85444.911875,0.0,0.0,15.0,14.975807647705079,0.26704728171575887,0.0009944239864125848,0.3086935877799988,0.30346113443374634,0.008229386992752552,0.31579065322875977,0.30944377183914185,0.05058102682232857,0.3409930169582367,0.33017417788505554
1,ID-Hard 80 ns,80.0,200,-14.05690544128418,-14.139622344970704,0.4369511008262634,0.12845486402511597,1.026975393295288,0.050224483013153076,2050.384521484375,0.09419891983270645,1.3845487833023071,0.09419891238212585,0.3173341751098633,0.09671105444431305,0.30899670720100403,0.09275944530963898,0.2302553802728653,0.13294172286987305,0.21860231459140778,0.11295513063669205,-1202.85146484375,83397.499375,0.0,0.0,15.0,15.003419342041015,0.2547487409902887,0.001020173542201519,0.3063386082649231,0.29975804686546326,0.008366238325834274,0.31136560440063477,0.30386993288993835,0.049041662365198135,0.3342982828617096,0.3233620822429657
1,OOD-Far 1 ms,1000000.0,200,1.965557680130005,2.22893648147583,0.4247809946537018,0.1293429136276245,1.0176047086715698,0.05291155353188515,2050.39599609375,0.10695955902338028,1.396073579788208,0.10695952922105789,0.3065493702888489,0.09812191128730774,0.30152249336242676,0.09593609720468521,-0.01136981975287199,-0.008706110529601574,-0.014777706936001778,-0.01116239931434393,2692.54611328125,3314797.09,0.0,0.0,15.0,15.005892143249511,0.24637874231902782,0.04961874336004257,0.30752989649772644,0.30265146493911743,0.4037752151489258,0.3071112334728241,0.30219370126724243,2.0623462200164795,0.3050069510936737,0.2997223436832428
1,OOD-Near 120 ns,120.0,200,-13.757574996948243,-13.824168243408202,0.43529564142227173,0.12766095995903015,1.0247772932052612,0.051308415830135345,2050.38623046875,0.09260834753513336,1.3863022327423096,0.09260832518339157,0.3157188594341278,0.09609977900981903,0.3081733286380768,0.09266907721757889,0.23123912513256073,0.11580117046833038,0.2220827341079712,0.10010568797588348,-1137.44515625,87317.46125,0.0,0.0,15.0,14.99090560913086,0.2707705227594815,0.0010772901587188244,0.30598509311676025,0.2998034358024597,0.008896274492144585,0.31027287244796753,0.30337414145469666,0.051408641040325165,0.33089858293533325,0.321342408657074
2,ID-Easy 20 ns,20.0,200,-14.925983200073242,-14.935295944213868,0.3754182457923889,0.07453377544879913,1.9849683046340942,0.18000958859920502,2052.626953125,0.32585540413856506,3.626920461654663,0.3258553743362427,0.10505957901477814,0.02671053074300289,0.053764909505844116,0.016484910622239113,0.25113314390182495,0.1666368842124939,0.25434741377830505,0.15784290432929993,-1415.0433642578125,70994.934375,0.0,0.0,15.0,14.997757911682129,0.27129987054080895,0.0008642267785035074,0.10110447555780411,0.05136368051171303,0.007160956505686045,0.10285592079162598,0.05238846689462662,0.04245626553893089,0.11121837049722672,0.057542584836483
2,ID-Hard 80 ns,80.0,200,-14.802118530273438,-14.807134628295898,0.37158969044685364,0.07226017117500305,1.9767577648162842,0.08165852725505829,2052.62646484375,0.13329263031482697,3.6264798641204834,0.13329263031482697,0.10281018167734146,0.021506384015083313,0.05205076187849045,0.01089984830468893,0.24856171011924744,0.14415192604064941,0.2662014961242676,0.15240246057510376,-1374.206884765625,70190.1453125,0.0,0.0,15.0,15.005968742370605,0.25995335069542175,0.0008879231754690409,0.10005393624305725,0.050576914101839066,0.0073347752913832664,0.10116226226091385,0.051150862127542496,0.04174871742725372,0.10721438378095627,0.05442451313138008
2,OOD-Far 1 ms,1000000.0,200,1.7660288333892822,2.0162421607971193,0.3744405210018158,0.0694441869854927,1.924669623374939,0.0936649814248085,2052.534423828125,0.15711398422718048,3.5343034267425537,0.1571139395236969,0.10634471476078033,0.021419916301965714,0.055422522127628326,0.011747675947844982,0.10067959874868393,0.07751826196908951,0.10151895135641098,0.07704891264438629,2585.071025390625,3172705.82,0.0,0.0,15.0,15.048698883056641,0.28407814713689106,0.046932149678468704,0.10506761074066162,0.05470937490463257,0.38242843747138977,0.10561574995517731,0.05502242222428322,1.9677739143371582,0.10835079103708267,0.056535765528678894
2,OOD-Near 120 ns,120.0,200,-14.291046371459961,-14.288277206420899,0.370942085981369,0.07275554537773132,1.9694355726242065,0.08773563802242279,2052.62109375,0.13246576488018036,3.620934009552002,0.1324656754732132,0.10275860875844955,0.021483374759554863,0.052256740629673004,0.011106062680482864,0.23516997694969177,0.11797437816858292,0.24963295459747314,0.12688331305980682,-1265.003837890625,77061.999375,0.0,0.0,15.0,15.005629730224609,0.24798567709593625,0.000982742290943861,0.10039439052343369,0.050942521542310715,0.00811258889734745,0.101241335272789,0.05141313374042511,0.04585907608270645,0.10664007812738419,0.05441455915570259
3,ID-Easy 20 ns,20.0,200,-16.411455612182618,-16.445580673217773,0.28933829069137573,0.060962874442338943,3.074169635772705,0.21798186004161835,2055.229248046875,0.4706965386867523,6.229429721832275,0.47069647908210754,0.04701710864901543,0.012093676254153252,0.015452352352440357,0.004500252660363913,0.24787014722824097,0.17236246168613434,0.23172993957996368,0.16406665742397308,-1733.6950048828126,51049.3515625,0.0,0.0,15.0,15.011744117736816,0.269451674941243,0.0006267210119403899,0.045271217823028564,0.014824219979345798,0.005190082360059023,0.046047620475292206,0.015108805149793625,0.0302681066095829,0.049732506275177,0.016424033790826797
3,ID-Hard 80 ns,80.0,200,-16.20644515991211,-16.237983627319338,0.2877587676048279,0.05982429161667824,3.053290367126465,0.12075914442539215,2055.201904296875,0.2223471999168396,6.201943397521973,0.2223471999168396,0.046579886227846146,0.010457796044647694,0.015287875197827816,0.0035354027058929205,0.24338708817958832,0.15115654468536377,0.24456581473350525,0.15503327548503876,-1691.285048828125,51166.83140625,0.0,0.0,15.0,15.005388145446778,0.2648897613642743,0.0006507245707325637,0.045233480632305145,0.014821727760136127,0.005318019073456526,0.045825377106666565,0.015027767047286034,0.030199337750673294,0.04868079349398613,0.01601412706077099
