regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-17.925472717285157,-17.93111381530762,0.010975789278745651,0.0014284810749813914,-2121.527275390625,35843.9053125,0.0
ID-Hard 80 ns,-17.404796447753906,-17.40891052246094,0.010968388989567757,0.001429160707630217,-2007.689169921875,38335.323125,0.0
OOD-Far 1 ms,1.4022614765167236,1.6109058618545533,0.015591844916343689,0.0023302454501390457,2536.5976953125,2941662.01,0.0
OOD-Near 120 ns,-15.52048614501953,-15.517501068115234,0.011140001937747002,0.0014621616574004292,-1567.6286181640626,57045.1175,0.0
