regime,nmse_all_db,nmse_omitted_db,aleatoric,epistemic,nll,raw_l_reg,lambda_reg_x_l_reg
ID-Easy 20 ns,-18.665287475585938,-18.665373153686524,0.013234083540737629,0.0022415663115680218,-2275.813046875,30770.14578125,307.7014526367187
ID-Hard 80 ns,-17.88049003601074,-17.878828353881836,0.013165866024792194,0.0022234662901610136,-2119.26076171875,34540.42609375,345.4042541503906
OOD-Near 120 ns,-15.67052936553955,-15.670393333435058,0.013444253243505955,0.0022874155547469854,-1618.68033203125,55011.665,550.1166430664063
OOD-Far 1 ms,1.333892593383789,1.5340125465393066,0.020037764683365822,0.003912479616701603,2479.9251171875,2888029.99,28880.29953125
