epoch,train_total,train_nll,train_reg,train_lambda_reg_x_reg,train_nmse_all_db,train_nmse_omitted_db,validation_total,validation_nll,validation_reg,validation_lambda_reg_x_reg,validation_nmse_all_db,validation_nmse_omitted_db,validation_aleatoric,validation_epistemic
1,1.130723326921463,0.6390009331703186,491.72236926269534,0.4917223926782608,-3.3561430780887602,-3.277398989200592,0.9790107154846192,0.5659646892547607,413.0459997558594,0.4130460202693939,-3.84108419418335,-3.6467113399505617,0.1776681786775589,0.1460171175003052
2,0.19597856467962266,-0.03125849191471934,227.2370440979004,0.2272370558977127,-6.750835731506347,-6.629973165512085,-0.49102320075035094,-0.5433745861053467,52.35138275146485,0.0523513850569725,-12.823782844543457,-12.665491790771485,0.030772647857666015,0.01635378547012806
3,-0.23632288014888764,-0.3755922368243337,139.26935159301757,0.13926935765147208,-9.11905076789856,-9.01663109779358,-0.6015709400177002,-0.6315952396392822,30.024293518066408,0.030024295151233674,-14.938847274780274,-14.83410873413086,0.030302275568246842,0.016865996047854423
4,-0.3914988763332367,-0.5081047563552856,116.60587273406982,0.11660587836802006,-9.845813438415528,-9.743740394592285,-0.2268893164396286,-0.2842273330688477,57.338014373779295,0.057338016778230666,-12.248714599609375,-12.15705093383789,0.01149225067347288,0.005456488151103258
5,-0.43970396083593366,-0.5368468299508095,97.14286753845215,0.09714287206530571,-10.6094214553833,-10.517663345336913,-0.8470495080947876,-0.8705547237396241,23.505214233398437,0.023505215123295783,-16.08297607421875,-16.038936157226562,0.013808928281068802,0.0071191111579537395
