epoch,regime,delay_spread_ns,samples,nmse_all_db,nmse_omitted_db,psi_mean,psi_std,kappa_mean,kappa_std,nu_mean,nu_std,df_cov_mean,df_cov_std,aleatoric_mean,aleatoric_std,epistemic_mean,epistemic_std,error_aleatoric_pearson,error_aleatoric_spearman,error_epistemic_pearson,error_epistemic_spearman,nll,raw_l_reg,lambda_reg_x_l_reg
1,ID-Easy 20 ns,20.0,200,-13.779751625061035,-13.771421585083008,0.3119141459465027,0.0951213464140892,1.102290153503418,0.1049150750041008,2051.010986328125,0.22888383269309998,2.011138439178467,0.2288837879896164,0.15821628272533417,0.0554654560983181,0.14541660249233246,0.055249109864234924,0.1886707991361618,-0.14612653851509094,0.15675021708011627,-0.16075384616851807,-1378.4107861328125,90688.685625,90.68868957519531
1,ID-Hard 80 ns,80.0,200,-13.607777442932129,-13.597144203186035,0.31004276871681213,0.0950106605887413,1.097104787826538,0.0625712126493454,2051.00927734375,0.0957803800702095,2.0092966556549072,0.0957803800702095,0.154795303940773,0.04851296544075012,0.1412872076034546,0.044309113174676895,0.25112876296043396,-0.08406151086091995,0.25035277009010315,-0.089925117790699,-1150.62123046875,90937.79875,90.93780364990235
1,OOD-Near 120 ns,120.0,200,-13.483974266052247,-13.45671775817871,0.31004536151885986,0.09432975202798843,1.0954474210739136,0.06393510848283768,2051.007080078125,0.10068149119615555,2.006967544555664,0.10068142414093018,0.15502136945724487,0.048352427780628204,0.1417781114578247,0.04447481781244278,0.28053373098373413,-0.057874370366334915,0.27965760231018066,-0.05862702429294586,-1129.1203955078124,91447.336875,91.44734130859375
1,OOD-Far 1 ms,1000000.0,200,2.0776056385040285,2.348172330856323,0.30046191811561584,0.09140970557928085,1.0913496017456055,0.06691428273916245,2051.032958984375,0.11347238719463348,2.032952070236206,0.11347238719463348,0.14838019013404846,0.04634992778301239,0.13634680211544037,0.04326675832271576,0.02312319353222847,0.03744810074567795,0.02037200704216957,0.0330001637339592,2670.82546875,3405240.36,3405.240517578125
2,ID-Easy 20 ns,20.0,200,-18.127228775024413,-18.086289520263673,0.24000926315784454,0.07215037941932678,1.9923027753829956,0.1487312614917755,2053.957763671875,0.3394220173358917,4.957767009735107,0.3394220173358917,0.04894522204995155,0.016352364793419838,0.024637766182422638,0.008238854818046093,0.32126563787460327,0.1615772545337677,0.3057127296924591,0.1458861380815506,-2299.18615234375,33462.38421875,33.462385711669924
2,ID-Hard 80 ns,80.0,200,-18.17961296081543,-18.138472595214843,0.23705822229385376,0.07077576220035553,1.9812372922897339,0.09382966160774231,2053.972412109375,0.19844406843185425,4.972539901733398,0.19844402372837067,0.04787418618798256,0.014899925328791142,0.024150878190994263,0.007370584178715944,0.3636252284049988,0.17696066200733185,0.36096933484077454,0.1683943271636963,-2237.37736328125,32005.385234375,32.00538650512695
2,OOD-Near 120 ns,120.0,200,-17.596150970458986,-17.528193359375,0.23578833043575287,0.0704551488161087,1.9761751890182495,0.09442134946584702,2053.977294921875,0.19438451528549194,4.977174282073975,0.19438448548316956,0.0475568026304245,0.014778467826545238,0.02406381256878376,0.007369412574917078,0.37414225935935974,0.17086724936962128,0.37349581718444824,0.16860303282737732,-2118.988203125,35622.3525,35.622354660034176
2,OOD-Far 1 ms,1000000.0,200,2.064478540420532,2.338655652999878,0.23419718444347382,0.07080920785665512,1.9540616273880005,0.09508316963911057,2053.9609375,0.17975981533527374,4.961111068725586,0.17975972592830658,0.04732925072312355,0.014689711853861809,0.02424292452633381,0.00750487856566906,0.0775480791926384,0.07894836366176605,0.07553230226039886,0.07666748017072678,2658.38458984375,3402065.4,3402.06556640625
3,ID-Easy 20 ns,20.0,200,-20.132398834228514,-20.11800323486328,0.1990608274936676,0.0697711780667305,3.468620538711548,0.18847914040088654,2057.25830078125,0.5422341227531433,8.258395195007324,0.5422341227531433,0.024470550939440727,0.009652762673795223,0.00708480691537261,0.002857281593605876,0.2974502742290497,0.16436748206615448,0.28487107157707214,0.15381652116775513,-2871.9200390625,21704.96875,21.704969863891602
3,ID-Hard 80 ns,80.0,200,-20.132027359008788,-20.10420021057129,0.19574207067489624,0.06705930083990097,3.455955743789673,0.1320974975824356,2057.2822265625,0.3426485061645508,8.282401084899902,0.342648446559906,0.02379128709435463,0.008593637496232986,0.006893401965498924,0.0025063692592084408,0.3192661702632904,0.15211834013462067,0.3194257915019989,0.1512410193681717,-2781.54517578125,20601.892734375,20.601893844604493
3,OOD-Near 120 ns,120.0,200,-19.304136962890624,-19.23688606262207,0.19539524614810944,0.06803985685110092,3.449387788772583,0.13382969796657562,2057.279052734375,0.3204708695411682,8.27916431427002,0.3204708397388458,0.02373962104320526,0.008683396503329277,0.0068928818218410015,0.0025443474296480417,0.33251625299453735,0.14197850227355957,0.330974280834198,0.14063438773155212,-2590.05701171875,24146.3996875,24.146400756835938
3,OOD-Far 1 ms,1000000.0,200,2.1379258918762205,2.4131000232696533,0.20486176013946533,0.071665458381176,3.3661420345306396,0.1362026035785675,2057.05224609375,0.2948656380176544,8.052364349365234,0.29486560821533203,0.025556577369570732,0.009288281202316284,0.007608511485159397,0.002806638367474079,0.1194886714220047,0.10409770160913467,0.12126606702804565,0.10542698949575424,2672.77599609375,3468939.71,3468.939853515625
4,ID-Easy 20 ns,20.0,200,-20.80056564331055,-20.774439926147462,0.1698455661535263,0.09490180760622025,4.6255083084106445,0.2743663787841797,2060.027587890625,0.8561378121376038,11.027652740478516,0.8561378121376038,0.015783512964844704,0.009618515148758888,0.003456683363765478,0.0021949741058051586,0.3226979970932007,0.07634241878986359,0.3219276964664459,0.0780475065112114,-3012.91595703125,17138.593359375,17.138594131469727
4,ID-Hard 80 ns,80.0,200,-20.551633071899413,-20.512329711914063,0.16622494161128998,0.09173321723937988,4.616297721862793,0.18550996482372284,2060.07177734375,0.6113830208778381,11.0718412399292,0.6113830208778381,0.015206217765808105,0.008758996613323689,0.003315226873382926,0.0019540470093488693,0.36756381392478943,0.10421265661716461,0.36785420775413513,0.1005525141954422,-2853.382705078125,18040.956953125,18.040957946777343
4,OOD-Near 120 ns,120.0,200,-19.850296096801756,-19.777908706665038,0.16525593400001526,0.09063535183668137,4.614991188049316,0.18367899954319,2060.08740234375,0.5513895750045776,11.087390899658203,0.5513895750045776,0.015061062760651112,0.00855904072523117,0.0032818038016557693,0.0019029753748327494,0.3967379927635193,0.12843278050422668,0.39344578981399536,0.1257207840681076,-2701.85185546875,20824.915234375,20.824916229248046
4,OOD-Far 1 ms,1000000.0,200,2.3685804653167724,2.6446424674987794,0.18806926906108856,0.10046188533306122,4.3882246017456055,0.19506949186325073,2059.44091796875,0.5485432147979736,10.44098949432373,0.5485432147979736,0.018208425492048264,0.010176965035498142,0.004179833922535181,0.002414188114926219,0.1258150190114975,0.12366355210542679,0.12962143123149872,0.12548847496509552,2729.8408203125,3665556.68,3665.5568359375
5,ID-Easy 20 ns,20.0,200,-22.463282470703124,-22.465003356933593,0.13046321272850037,0.08992084115743637,5.7909369468688965,0.32023885846138,2063.15625,0.9825339317321777,14.156302452087402,0.9825339317321777,0.009420580230653286,0.006882761139422655,0.001650031073950231,0.0012504381593316793,0.39453527331352234,0.22232234477996826,0.39122313261032104,0.2333618849515915,-3410.97921875,12511.031484375,12.511032257080078
5,ID-Hard 80 ns,80.0,200,-22.065728302001954,-22.042880935668947,0.1280951350927353,0.085653156042099,5.78093957901001,0.21734438836574554,2063.200439453125,0.7234691977500916,14.20044231414795,0.7234691977500916,0.009128449484705925,0.006280621513724327,0.0015899803256615996,0.0011144466698169708,0.4303385615348816,0.20814639329910278,0.4277133643627167,0.20877598226070404,-3229.95365234375,13130.5101953125,13.130510864257813
5,OOD-Near 120 ns,120.0,200,-20.910786743164063,-20.837443237304687,0.12788905203342438,0.084905244410038,5.770732879638672,0.21478895843029022,2063.1923828125,0.6652385592460632,14.19251537322998,0.6652385592460632,0.009103035554289818,0.006190466694533825,0.001587315578944981,0.0010972064919769764,0.45428094267845154,0.1995856910943985,0.4495312571525574,0.1994284838438034,-2979.82072265625,16681.319609375,16.68132038116455
