regime,delay_spread_ns,aleatoric_current,aleatoric_paper_aggregation,epistemic_current,epistemic_paper_aggregation,total_current,total_paper_aggregation,samples
ID-Easy 20 ns,20.0,0.41142213344573975,0.8228442215919495,0.41672632098197937,0.8334527015686035,0.8281484544277191,1.656296923160553,200
ID-Hard 80 ns,80.0,0.40421053767204285,0.8084210157394409,0.4008471667766571,0.8016943430900574,0.8050577044487,1.6101153588294983,200
OOD-Near 120 ns,120.0,0.40123429894447327,0.8024685716629029,0.3971444070339203,0.7942888498306274,0.7983787059783936,1.5967574214935303,200
OOD-Far 1 ms,1000000.0,0.38864055275917053,0.7772810554504395,0.3874911665916443,0.7749823331832886,0.7761317193508148,1.552263388633728,200
